org,repo,activity,comments,prs,commits,issues,authors,project,url
DestinyItemManager,DIM,527,351,52,76,48,16,DestinyItemManager,""
yarpc,yarpc-go,524,91,80,318,35,11,yarpc,""
swimlane,angular2-data-table,520,329,22,93,76,13,swimlane,""
google,oss-fuzz,519,94,32,379,14,13,Google OSS-Fuzz,github.com/google/oss-fuzz
phpmyadmin,phpmyadmin,518,256,24,166,72,31,phpmyadmin,""
PaddlePaddle,Paddle,516,325,45,37,109,12,PaddlePaddle,""
graknlabs,grakn,516,121,192,176,27,17,graknlabs,""
rcbops,rpc-openstack,513,384,28,81,20,13,rcbops,""
weaveworks,scope,512,280,39,149,44,16,weaveworks,""
informatics-isi-edu,chaise,509,229,41,163,76,12,informatics-isi-edu,""
spotify,HubFramework+luigi,508,281,88,107,32,29,spotify,""
bitpay,copay,506,265,80,80,81,11,bitpay,""
training-center,mentoria,506,325,60,88,33,39,training-center,""
aframevr,aframe,505,312,67,74,52,15,aframevr,""
languagetool-org,languagetool,505,160,22,300,23,15,languagetool-org,""
StackStorm,st2,502,222,59,197,24,16,StackStorm,""
projecthydra,sufia,499,188,56,210,45,11,projecthydra,""
openwhisk,openwhisk,497,331,67,50,49,14,openwhisk,""
openaddresses,openaddresses,496,326,57,87,26,12,openaddresses,""
ceph,ceph-ansible,495,287,57,132,19,14,ceph,""
wireapp,wire-ios,493,162,59,239,33,15,wireapp,""
prebid,Prebid.js,487,305,51,100,31,18,prebid,""
Automattic,mongoose,485,343,11,51,80,11,Automattic,""
pantheon-systems,terminus+documentation,483,125,88,245,25,29,pantheon-systems,""
youtube,vitess,481,273,81,90,37,12,youtube,""
NodeBB,NodeBB,480,229,21,176,54,13,NodeBB,""
realm,realm-js,479,217,29,185,48,12,Realm,realm.io
subutai-io,base,478,58,99,277,44,12,subutai-io,""
Dolibarr,dolibarr,476,159,66,191,60,19,Dolibarr,""
dealii,dealii,476,285,69,111,11,13,dealii,""
akeneo,pim-community-dev,476,85,75,299,17,19,akeneo,""
