org,repo,activity,comments,prs,commits,issues,authors,project
geoadmin,mf-geoadmin3+mf-chsdi3,7868,4357,669,2469,373,64,geoadmin
akka,akka,7830,5756,851,389,834,86,akka
conda,conda,7807,5524,372,275,1636,23,conda
dotCMS,core,7776,2843,933,2472,1528,66,dotCMS
cloudfoundry,bosh+cf-release,7745,2449,282,4571,443,296,cloudfoundry
sagemathinc,smc,7698,2982,379,3335,1002,36,sagemathinc
JMRI,JMRI,7692,3866,1588,1576,662,66,JMRI
pfnet,chainer,7576,3680,1023,2484,389,122,pfnet
flynn,flynn,7520,4712,567,1411,830,34,flynn
PCSX2,pcsx2,7510,6715,216,262,317,38,PCSX2
Polymer,polymer+polymer-cli,7495,4400,515,1559,1021,85,Polymer
convox,rack,7493,3356,878,2494,765,41,convox
fish-shell,fish-shell,7467,5763,245,740,719,73,fish-shell
oppia,oppia,7463,5777,724,447,515,82,oppia
,mitchellh/vagrant,7458,5642,352,575,889,131,mitchellh/vagrant
BVLC,caffe,7404,5474,448,337,1145,116,BVLC
zooniverse,Panoptes-Front-End,7388,4218,769,1808,593,63,zooniverse
pantheon-systems,terminus+documentation,7387,2397,982,3506,502,142,pantheon-systems
mlr-org,mlr,7366,4177,434,2197,558,80,mlr-org
salesagility,SuiteCRM,7354,4223,1097,893,1141,67,salesagility
,NecronomiconCoding/NecroBot,7334,5161,699,573,901,146,NecronomiconCoding/NecroBot
hypothesis,h,7317,2773,1043,3225,276,34,hypothesis
,arvidn/libtorrent,7306,3819,1054,2133,300,38,arvidn/libtorrent
pachyderm,pachyderm,7256,2882,580,3042,752,43,pachyderm
ONSdigital,eq-survey-runner,7228,1413,683,4839,293,43,ONSdigital
Cadasta,cadasta-platform,7227,3133,572,2816,706,48,Cadasta
AnalyticalGraphicsInc,cesium,7217,3907,657,2131,522,84,AnalyticalGraphicsInc
linuxmint,Cinnamon,7185,5594,305,382,904,56,linuxmint
scality,S3,7168,2687,464,3835,182,37,scality
Mashape,kong,7167,4345,503,1598,721,48,Mashape
RPCS3,rpcs3,7133,5660,470,466,537,54,RPCS3
esp8266,Arduino,7127,5554,241,277,1055,79,esp8266
bolt,bolt,7119,4156,878,1520,565,92,bolt
cocos2d,cocos2d-x,7072,5180,945,159,788,43,cocos2d
nwjs,nw.js,7064,5343,154,500,1067,36,nwjs
Necrobot-Private,NecroBot,7062,3969,480,1653,960,48,Necrobot-Private
emberjs,ember.js,7054,4720,853,801,680,125,emberjs
sphinx-doc,sphinx,7023,4647,492,1155,729,105,sphinx-doc
thaliproject,Thali_CordovaPlugin,6971,3087,456,2659,769,41,thaliproject
PolarisSS13,Polaris,6949,3619,1546,1379,405,91,PolarisSS13
netty,netty,6918,5454,496,346,622,33,netty
,danielgindi/Charts,6858,5067,189,320,1282,39,danielgindi/Charts
Graylog2,graylog2-server,6839,3527,650,1613,1049,34,Graylog2
pymc-devs,pymc3,6835,4931,515,962,427,85,pymc-devs
,Beep6581/RawTherapee,6818,5265,116,968,469,22,Beep6581/RawTherapee
ngageoint,hootenanny,6782,3388,406,2403,585,38,ngageoint
OpenKore,openkore,6764,6000,216,304,244,25,OpenKore
ChurchCRM,CRM,6758,2441,764,2587,966,24,ChurchCRM
nvaccess,nvda,6729,4605,246,905,973,40,nvaccess
mpv-player,mpv,6725,5248,345,180,952,27,mpv-player
google,ExoPlayer,6712,5049,159,405,1099,64,Google ExoPlayer
freeCodeCamp,freeCodeCamp,6703,4797,367,258,1281,90,freeCodeCamp
raspberrypi,linux,6665,5458,223,639,345,198,raspberrypi
,Dogfalo/materialize,6654,4850,289,303,1212,63,Dogfalo/materialize
supercollider,supercollider,6647,5296,530,438,383,69,supercollider
xonsh,xonsh,6627,4882,457,771,517,50,xonsh
telerik,kendo-ui-core,6626,1459,176,3651,1340,158,telerik
plotly,plotly.js,6623,3794,545,1652,632,55,plotly
duckduckgo,zeroclickinfo-goodies,6618,4544,834,822,418,229,duckduckgo
fgpv-vpgf,fgpv-vpgf,6611,4631,579,561,840,28,fgpv-vpgf
ucb-bar,rocket-chip+chisel3,6584,3071,668,2495,350,101,ucb-bar
,aksonov/react-native-router-flux,6576,4893,311,347,1025,127,aksonov/react-native-router-flux
reactioncommerce,reaction,6519,2627,551,2738,603,60,reactioncommerce
k9mail,k-9,6512,4488,416,775,833,50,k9mail
kontena,kontena,6511,2633,875,2399,604,44,kontena
inverse-inc,packetfence,6497,2142,362,3435,558,40,inverse-inc
sharetribe,sharetribe,6492,887,975,4522,108,49,sharetribe
DestinyItemManager,DIM,6491,4002,548,1312,629,41,DestinyItemManager
Dolibarr,dolibarr,6469,1869,1112,2891,597,123,Dolibarr
glpi-project,glpi,6460,3532,527,1441,960,53,glpi-project
concrete5,concrete5,6458,3259,890,1564,745,92,concrete5
,ornicar/lila,6455,1478,344,3857,776,57,ornicar/lila
Tribler,tribler,6442,5279,375,318,470,34,Tribler
rubberduck-vba,Rubberduck,6408,3985,719,715,989,29,rubberduck-vba
valor-software,ng2-bootstrap,6399,4400,354,747,898,115,valor-software
iNavFlight,inav,6374,5022,484,423,445,22,iNavFlight
opensim-org,opensim-core,6367,3713,451,1911,292,37,opensim-org
jruby,jruby,6354,2888,228,2783,455,74,jruby
freeorion,freeorion,6352,4188,495,1272,397,43,freeorion
dgraph-io,dgraph,6348,2660,469,2955,264,37,dgraph-io
,gonetz/GLideN64,6340,5339,217,471,313,24,gonetz/GLideN64
halide,Halide,6335,2099,705,3344,187,59,halide
nim-lang,Nim,6305,3385,735,1253,932,166,nim-lang
,spf13/hugo,6290,3952,513,1077,748,210,spf13/hugo
,airyland/vux,6290,4229,206,894,961,57,airyland/vux
e107inc,e107,6273,3945,401,1202,725,34,e107inc
wallabag,wallabag,6264,3871,516,1151,726,79,wallabag
bitpay,copay,6238,3693,786,713,1046,32,bitpay
kaldi-asr,kaldi,6215,4644,629,661,281,130,kaldi-asr
TryGhost,Ghost,6202,3343,670,1581,608,58,TryGhost
africanmathsinitiative,Instat,6188,3080,1422,1352,334,36,africanmathsinitiative
keystonejs,keystone,6174,3461,355,1829,529,99,keystonejs
arduino,Arduino,6169,4541,181,257,1190,48,arduino
citra-emu,citra,6157,4650,538,457,512,73,citra-emu
MinecraftForge,MinecraftForge,6143,4670,470,494,509,103,MinecraftForge
dmwm,WMCore,6137,4467,641,672,357,39,dmwm
whatwg,html,6131,4851,337,357,586,33,whatwg
,hrydgard/ppsspp,6113,4369,384,870,490,36,hrydgard/ppsspp
Elgg,Elgg,6113,4261,766,549,537,25,Elgg
devopsdays,devopsdays-web,6112,1788,1928,2196,200,224,devopsdays
odota,ui,6087,1230,337,4244,276,38,odota
,hydrabolt/discord.js,6066,2262,599,2685,520,91,hydrabolt/discord.js
VSCodeVim,Vim,6057,3620,436,1156,845,72,VSCodeVim
