org,repo,activity,comments,prs,commits,issues,pushes,authors,pushes_1,project,url
WasmEdge,WasmEdge+wasmedgeup+docs+wasmedge-stable-diffusion+cpp-plugins+wasmedge-rust-sdk+www+mediapipe-rs+wasmedge-llmc+Rust_coder+llvm-windows+rust-plugins+wasmedge-db-examples+wasmedge_reqwest_demo+YOLO-rs+wasmedge_hyper_demo+homebrew+wasmedge-spectest,7813,4367,1080,3526,447,1919,50,1919,WasmEdge Runtime,wasmedge.org
spiffe,spire,5182,2753,751,1440,307,1371,50,1371,Spire,spiffe.io
k3s-io,k3s+docs+kine+k3s-ansible+helm-controller+cluster-api-k3s+k3s-io.github.io+klipper-helm+klipper-lb+scans+k3s-upgrade+k3s-selinux+k3s-root+k3s-charts+helm-set-status+api+vagrant-k3s,11189,5976,1924,2167,2068,1221,49,1221,K3s,k3s.io
ovn-kubernetes+ovn-org,ovn-kubernetes+ovn-kubernetes+ovn+ovn-website+kubernetes-traffic-flow-tests+ovn-fake-multinode+libovsdb+ovn-org.github.io+ovn-heater+libovsdb+ovn-vif+.github,17264,14113,1571,2726,345,1235,47,1235,OVN-Kubernetes,ovn-kubernetes.io
kgateway-dev+k8sgateway,kgateway+kgateway.dev+k8sgateway+community+community+pr-kind-labeler+k8sgateway.io+changelog-generator+kgateway.io+k8sgateway.io+.github+readme,12247,8394,1553,2092,873,1427,46,1427,kgateway,kgateway.dev
cortexproject,cortex+cortex-helm-chart+promqlsmith+auth-gateway,6479,3969,1024,1355,228,1258,46,1258,Cortex,github.com/cortexproject
distribution,distribution+distribution-library-image+reference,2009,1424,238,247,251,96,46,96,Distribution,github.com/distribution
confidential-containers,cloud-api-adaptor+trustee+guest-components+operator+confidential-containers+confidentialcontainers.org+trustee-operator+td-shim+enclave-cc+.github+simple-kbs+infra+confidential-containers.github.io,15664,11372,2371,2180,618,1303,45,1303,Confidential Containers,github.com/confidential-containers
perses,perses+plugins+perses-operator+helm-charts+community-dashboards+website+metrics-usage+perses-plugins+common+github-actions+mcp-server+cli-actions+examples-plugin+promql-builder+poc-cue-modules,8731,3979,1937,3176,376,2439,45,2439,Perses,perses.dev
open-feature,java-sdk-contrib+js-sdk-contrib+js-sdk+flagd+go-sdk-contrib+dotnet-sdk-contrib+openfeature.dev+java-sdk+dotnet-sdk+community-tooling+python-sdk-contrib+open-feature-operator+go-sdk+spec+python-sdk+flagd-testbed+cli+dart-server-sdk+community+playground+php-sdk-contrib+kotlin-sdk+rust-sdk-contrib+codegen+swift-sdk+ruby-sdk-contrib+protocol+flagd-schemas+toggle-shop+rust-sdk+php-sdk+ruby-sdk+elixir-sdk-contrib+elixir-sdk+killercoda+.github+kotlin-sdk-contrib+ofrep-swift-client-provider+ofep+react-test-app+angular-test-app+cloud-native-demo+watchman,39641,10655,3347,27009,862,24777,44,24777,OpenFeature,openfeature.dev
goharbor,harbor+harbor-cli+harbor-helm+community+website+terraform-provider-harbor+acceleration-service+harbor-operator+jenkins-shared-library+go-client+perf+harbor-arm+xk6-harbor+homebrew-tap+harbor-scanner-clair+pluggable-scanner-spec+chartmuseum-migration-tools,11224,6870,1657,1225,1676,1021,44,1021,Harbor,goharbor.io
k0sproject,k0s+k0smotron+k0sctl+rig+bootloose+k0sproject.github.io+version+dig+community+k0smotron.io+cni-node+image-builder+homebrew-tap+iptables+get+pushgateway-ttl-builder+test,8789,4001,2007,4141,515,2266,44,2266,k0s,k0sproject.io
kubeedge,kubeedge+website+ianvs+sedna+community+dashboard+mappers-go+examples+mapper-framework+edgemesh+keink+killercoda-scenarios+api+kuberobo,7473,5570,1039,1142,410,454,44,454,KubeEdge,kubeedge.io
k8sgpt-ai,k8sgpt+k8sgpt-operator+docs+schemas+website+community+homebrew-k8sgpt+charts+kdev+go-custom-analyzer+power_nerd+host-analyzer,5395,702,698,3966,218,3777,44,3777,K8sGPT,k8sgpt.ai
kmesh-net,kmesh+website+kmesh-dns-plugin+community+test-infra,8882,7099,722,2070,435,626,43,626,Kmesh,kmesh.net
Kuadrant,kuadrant-operator+dns-operator+testsuite+wasm-shim+authorino+kuadrant-console-plugin+authorino-operator+docs.kuadrant.io+architecture+policy-machinery+console-plugin+limitador-operator+limitador+testsuite-pipelines+helm-charts+kuadrant.github.io+deployment+kuadrantctl+governance+kserve-poc+inferno+authorino-examples+react-policy-topology+gateway-api-state-metrics+gateway-api-metrics-exporter+multicluster-gateway-controller+kuadrant+mcp-envoy-wasm+.github+kuadra+gateway-api-machinery+console-quickstart+kuadrant-mcp-poc,18225,10314,2271,7458,1304,4336,43,4336,Kuadrant,kuadrant.io
falcosecurity,libs+falco+test-infra+plugins+charts+falco-website+falcosidekick+falcoctl+evolution+falco-talon+event-generator+deploy-kubernetes+falco-operator+plugin-sdk-rs+rules+driverkit+plugin-sdk-cpp+plugin-sdk-go+testing+falco-actions+dbg-go+kernel-crawler+falcosidekick-ui+kernel-testing+community+syscalls-bumper+cncf-green-review-testing+falco-exporter+k8s-metacollector+client-go+falco-aws-terraform+falco-playground+falco-rustlings+elftoolchain+contrib,15801,9936,1431,6146,424,4010,43,4010,Falco,falco.org
knative+knative-extensions,eventing+eventing-kafka-broker+serving+func+docs+operator+community+pkg+autoscaler-keda+serving-progressive-rollout+infra+eventing-istio+backstage-plugins+net-istio+net-kourier+eventing-integrations+net-gateway-api+eventing-natss+net-contour+eventing-rabbitmq+networking+hack+client+kn-plugin-event+kn-plugin-quickstart+sample-controller+func-python+release+eventing-gitlab+reconciler-test+caching+eventing-redis+eventing-autoscaler-keda+eventing-github+security-guard+knobots+ux+sample-source+eventing-ceph+homebrew-kn-plugins+educational-game+actions+kn-plugin-operator+func-go+kn-plugin-source-kafka+client-pkg+kn-plugin-admin+homebrew-client+eventing-kogito+.github+kn-plugin-source-kamelet+toolbox+kn-plugin-sample+func-tastic+kn-plugin-service-log+.github+specs+kn-plugin-migration+test-infra+kn-plugin-diag+eventing-kafka,18404,11609,1747,4384,702,4346,43,4346,Knative,knative.dev
kubevela,kubevela+workflow+kubevela.github.io+catalog+pkg+velaux+community+kubevela-core-api+prism+terraform-controller+velad+charts+samples+kube-trigger,1440,695,416,237,141,188,43,188,KubeVela,kubevela.io
opencost,opencost+opencost-helm-chart+opencost-infra+opencost-website+opencost-plugins+opencost-ui+opencost-integration-tests+opencost-parquet-exporter+opencost-grafana-dashboard+opencost-version-compare,3969,2055,798,1104,220,896,42,896,OpenCost,kubecost.com
kube-rs,kube+gateway-api-rs+kopium+controller-rs+website+k8s-pb+version-rs,2905,1511,438,966,174,782,42,782,kube-rs,docs.rs/kube
dexidp,dex+helm-charts+website,1764,783,433,582,82,466,42,466,Dex,github.com/dexidp
longhorn+rancher,longhorn+longhorn-manager+longhorn-tests+website+longhorn-instance-manager+longhorn-spdk-engine+longhorn-engine+longhorn-ui+longhorn-share-manager+cli+backing-image-manager+go-spdk-helper+go-common-libs+backupstore+dep-versions+types+release+go-iscsi-helper+charts+infra+sparse-tools+external-image-builder+kbench+gh-configs+longhorn+bot+nfs-backupstore,37983,22666,4809,9243,2494,8014,41,8014,Longhorn,github.com/longhorn
kubeovn,kube-ovn+docs+.github+sriov-network-operator+kubevirt-dpdk,6677,2762,1451,2549,360,2104,41,2104,Kube-OVN,kube-ovn.io
CloudNativeAI,modctl+model-spec+vllm,1163,529,282,404,42,310,41,310,ModelPack,github.com/CloudNativeAI/model-spec
pipe-cd,pipecd+examples+terraform-provider-pipecd+actions-event-register+piped-plugin-sdk-go+actions-plan-preview+tutorial+docs-mcp-server+actions-gh-release+community-plugins+control-plane-aws-ecs-terraform-demo,8671,4516,1678,2640,223,2254,40,2254,PipeCD,pipecd.dev
kubearmor,KubeArmor+kubearmor-client+packer-plugin-kubearmor+otel-adapter+kubearmor-relay-server+grafana-datasource+k8tls+charts+policy-templates+kubearmor.io+modelarmor+rancherui+kubearmor-prometheus-exporter+artefacts,5038,1793,469,3006,170,2606,40,2606,KubeArmor,accuknox.com/kubearmor
cartography-cncf+lyft,cartography+cartography+cartography.dev,2768,1386,403,1249,112,867,40,867,Cartography,lyft.github.io/cartography
koordinator-sh,koordinator+website+yarn-copilot+charts+apis+community,2586,1912,278,276,138,258,40,258,Koordinator,koordinator.sh
antrea-io,antrea+antrea-ui+website+image-utils+has-changes+theia,13317,10487,1021,1632,291,1518,39,1518,Antrea,antrea.io
kaito-project+Azure,kaito+kaito+kaito.sh+headlamp-kaito,6003,2478,944,2595,215,2366,39,2366,KAITO,github.com/kaito-project/kaito
kanisterio,kanister+errkit+kanister-charts+safecli+website,3187,1591,412,1205,58,1126,39,1126,Kanister,kanister.io
kagent-dev,kagent+website+doc2vec+community+python-sdk+a2a-slack-template,3134,1755,506,831,276,597,39,597,kagent,kagent.dev
kube-logging,logging-operator+telemetry-controller+fluentd-images+kube-logging.github.io+custom-runner+log-generator+syslogng-reload-image+fluentd-drain-watch+node-exporter-image+fluent-plugin-label-router+roadmap+.github+log-socket,4204,1289,776,2690,217,1922,39,1922,Logging Operator,kube-logging.dev
kubescape,node-agent+helm-charts+storage+kubescape+operator+kubevuln+kubescape.io+regolibrary+synchronizer+messaging+k8s-interface+project-governance+headlamp-plugin+prometheus-exporter+cel-admission-library+update-test-repo-1+backend+opa-utils+vscode-kubescape+sizing-checker+host-scanner+gateway+kollector+regolibrary-dev+backstage-plugin+github-action+node-yamlparse+node-kubescape+workflows+YAML-examples+kubescape-network-scanner+http-request+packaging+juju-kubescape+rbac-utils+go-logger+lens-extension+homebrew-tap+generate-vex-action+helm-release-upgrader+workshops+docker-desktop-extension+.github+regolibrary-playground+go-git-url+kapprofiler,7830,2499,1890,4564,272,3169,38,3169,Kubescape,github.com/kubescape
metal3-io,cluster-api-provider-metal3+baremetal-operator+ip-address-manager+project-infra+ironic-image+metal3-dev-env+ironic-standalone-operator+metal3-docs+metal3-io.github.io+utility-images+community+ironic-ipa-downloader+mariadb-image+ironic-client+.github+ironic-hardware-inventory-recorder-image,22626,17860,1353,5245,270,3143,36,3143,Metal³,metal3.io
linkerd,linkerd2+linkerd2-proxy+website+linkerd2-proxy-init+linkerd2-proxy-api+linkerd-extension-init+dev+linkerd-failover+linkerd-await+k8s-gateway-api-rs+drain-rs+linkerd+namerctl,11210,4796,2399,4963,234,3781,36,3781,Linkerd,linkerd.io
operator-framework,operator-controller+java-operator-sdk+catalogd+operator-lifecycle-manager+operator-registry+operator-sdk+operator-marketplace+kubectl-operator+helm-operator-plugins+ansible-operator-plugins+api+josdk-spring-boot-starter+operator-lib+josdk-webhooks+olm-docs+operator-manifest-tools+rukpak+java-operator-plugins+tilt-support+deppy+community+audit+operator-framework.io+test-operator+olm-book+operator-courier,21518,14844,3263,3115,849,2562,35,2562,Operator Framework,operatorhub.io
metallb,metallb+frr-k8s+metallb-operator,3925,2468,385,1063,212,860,35,860,MetalLB,metallb.org
youki-dev+containers,youki+youki+oci-spec-rs,2607,1752,321,807,84,450,35,450,Youki,containers.github.io/youki
armadaproject,armada+armada-spark+armada-operator+jenkins-plugin+java-client+armada-metaflow,5310,2089,1210,2170,147,1864,33,1864,Armada,armadaproject.io
cadence-workflow+uber,cadence+cadence+cadence-web+cadence-go-client+cadence-java-samples+Cadence-Docs+cadence-java-client+cadence-charts+cadence-idl+starlark-worker+cadence-samples+.github,10153,6267,2064,1246,695,1127,32,1127,Cadence,cadenceworkflow.io
werf,werf+nelm+trdl+website+trdl-actions+common-go+trdl-vault-actions+kubedog+common-ci+actions+sample-app+lockgate+ci-reusable-workflows+logboek+examples+ci-cd-with-gitops-demo+first-steps-example+common+.github+trdl-test-project+demo-2020-10-16+copy-recurse,6149,1203,1733,4700,244,2969,32,2969,werf,werf.io
kumahq,kuma+kuma-gui+kuma-website+kuma-smoke+envoy-builds+kuma-counter-demo+ci-tools+kuma-grafana-datasource+kuma-demo,26761,13739,5014,8080,1612,6396,31,6396,Kuma,kuma.io
openebs,mayastor-extensions+mayastor-control-plane+mayastor+openebs+openebs-e2e+zfs-localpv+rawfile-localpv+lvm-localpv+website+community+dynamic-localpv-provisioner+mayastor-dependencies+mayastor-chart-donotuse+monitoring+spdk-rs+.github+velero-plugin+linux-utils+mayastor-jenkins-cron+google-analytics-4+lib-csi+openebsctl+mayastor-docs+performance-benchmark+openebs-chart-donotuse+node-disk-manager,22210,11834,1782,8337,594,8000,31,8000,OpenEBS,openebs.io
flatcar,scripts+Flatcar+sysext-bakery+mantle+nebraska+flatcar-website+bootengine+init+flatcar-app-minecraft+flatcar-demos+reports+ue-rs+flatcar-build-scripts+baselayout+jitsi-server+update_engine+coreos-cloudinit+cluster-api-bootstrap-provider-kubeadm-ignition+mayday+flatcar-cloud-image-uploader+flatcar-linux-update-operator+lerobot+.github+container-linux-config-transpiler+seismograph+socials+update-ssh-keys+torcx+toolbox+terraform-gcp-flatcar+sysroot-wrappers+flatcar-app-jitsi+flatcar-dev-util+locksmith+azure-marketplace-ingestion-api+flatcar-tutorial+flatcar-release-mirror+flatcar-terraform+flatcar-packer-qemu+flatcar-automation+ignition+nebraska-update-agent+nss-altfiles+flatcar-ipxe-scripts+updateservicectl+flatcar-mastodon+garm-provider-linode+flog+fleetlock+flatcar-template-project,7471,3398,935,6385,417,2721,31,2721,Flatcar,flatcar.org
open-cluster-management-io,ocm+config-policy-controller+sdk-go+open-cluster-management-io.github.io+enhancements+api+policy-collection+clusteradm+policy-generator-plugin+addon-framework+managed-serviceaccount+governance-policy-addon-controller+addon-contrib+governance-policy-propagator+community+multicloud-operators-subscription+multicloud-integrations+cluster-proxy+argocd-pull-integration+cluster-permission+governance-policy-framework-addon+helm-charts+ocm-vscode-extension+multicluster-controlplane+multicloud-operators-channel+registration+lab+work+placement+registration-operator,8289,5862,1085,1235,235,1107,31,1107,Open Cluster Management,open-cluster-management.io
telepresenceio,telepresence+telepresence.io+homebrew-telepresence+go-fuseftp+docker-volume-telemount,2439,753,323,2413,263,1100,31,1100,Telepresence,telepresence.io
fermyon+spinframework,spin+spin+spin-docs+spin-js-sdk+runtime-class-manager+containerd-shim-spin+spin-js-sdk+spin-rust-sdk+spin-plugins+spin-trigger-command+spin-plugins+spin-operator+spinkube-docs+spin-trigger-sqs+spin-rust-sdk+governance+spin-test+spin-plugin-kube+spin-go-sdk+spin-trigger-cron+homebrew-tap+skips+rust-docs+spin-trigger-mqtt+spin-trigger-command+spin-python-sdk+spin-trigger-cron+spin-test+spin-trigger-sqs+spin-fileserver+community+spin-dotnet-sdk+spin-deps-plugin+spin-redirect+spin-dotnet-sdk+spin-python-sdk+platform-plugin+js-wasi-ext+spin-nim-sdk+spinkube-governance+azure,8208,5039,1495,2252,512,1162,30,1162,Spin,developer.fermyon.com/spin
microcks,microcks+microcks.io+microcks-testcontainers-dotnet+hub.microcks.io+microcks-operator+microcks-cli+community+microcks-testcontainers-java+microcks-testcontainers-node+microcks-testcontainers-go+microcks-java-client+.github+microcks-quarkus+microcks-postman-runtime+community-mocks+microcks-spectral-ruleset+microcks-docker-desktop-extension+microcks-jenkins-plugin+microcks-ansible-operator+microcks-go-client+microcks-quarkus-demo+microcks-backstage-provider+microcks-quickstarters+import-github-action+test-github-action+microcks.github.io+microcks-testcontainers-go-demo+microcks-testcontainers-java-spring-demo+microcks-testcontainers-node-nest-demo+api-lifecycle+api-tooling+homebrew-tap+microcks-images+microcks-keycloak,8968,3567,1733,2843,1309,2359,30,2359,Microcks,microcks.io
openkruise,kruise+rollouts+kruise-game+openkruise.io+charts+kruise-tools+kruise-state-metrics+kruise-rollout-api,3406,2041,645,427,312,408,30,408,OpenKruise,openkruise.io
getsops,sops+sotp+docs+community,1888,1157,331,518,136,264,30,264,SOPS,github.com/mozilla/sops
chaos-mesh,chaos-mesh+website+chaos-mesh.github.io+chaos-tproxy+k8s_dns_chaos+toda+chaosd+website-archived+charts+byteman-helper+datasource+memStress,1136,495,262,286,129,250,30,250,Chaos Mesh,chaos-mesh.org
containers+bootc-dev,bootc+bootc+bootc-dev.github.io,5043,3239,793,1295,319,692,28,692,bootc,containers.github.io/bootc
hyperlight-dev,hyperlight+hyperlight-wasm+ci-setup-workflow+hyperlight-kubeconNA2024-demo+hyperlight-wasm-calculator-example+hyperlight-wasm-sockets-example+wasm-udp-echo-sample,3764,2300,590,915,224,650,28,650,Hyperlight,hyperlight.org
radius-project,radius+design-notes+samples+docs+bicep-types-aws+community+recipes+dashboard+bicep-tools+roadmap+bicep+website+lab,18662,12105,1650,3192,2510,2397,27,2397,Radius,radapp.io
Azure+kubefleet-dev,fleet+fleet-networking+kubefleet+website,6590,4976,897,835,41,676,27,676,KubeFleet,github.com/Azure/fleet
sustainable-computing-io,kepler+kepler-metal-ci+kepler-model-server+kepler-operator+susql-operator+kepler-helm-chart+kepler-action+local-dev-cluster+clever+kepler-doc+kepler-model-db+peaks+aws_ec2_self_hosted_runner+kepler-experimental+kepler-model-training-playbook+.github+scalability-benchmark-suite+energy-measurement-data+community+label-exporter,8793,3448,1731,4016,403,3211,27,3211,Kepler,sustainable-computing.io
kcp-dev,kcp+api-syncagent+kcp-operator+helm-charts+infra+code-generator+multicluster-provider+contrib+generic-controlplane+apimachinery+client-go+kcp.io+embeddedetcd+krew-index+multicluster-provider-kubebuilder-example,4920,3492,556,1696,138,734,27,734,kcp,kcp.io
bpfman,bpfman+bpfman-operator+meeting-notes,3858,2029,523,1550,167,1139,27,1139,bpfman,bpfman.io
openyurtio,openyurt+openyurt.io+charts+yurt-dashboard+raven+openyurt-helm,2129,1202,373,361,246,308,27,308,OpenYurt,opeyurt.io
spiffe,helm-charts-hardened+spike+spiffe-helper+tornjak+spire-controller-manager+spiffe+java-spiffe+spire-examples+go-spiffe+spike-sdk-go+spiffe-csi+spiffe.io+spire-api-sdk+aws-spiffe-workload-helper+spire-ha-agent+spire-server-attestor-tpm+spire-plugin-sdk+spire-tutorials+k8s-spiffe-workload-jwt-exec-auth+k8s-spiffe-workload-auth-config+vsecm-sdk-go+spire-credentialcomposer-cel+awesome-spiffe+club-zero+spiffe-step-ssh+vsecm-sdk-rust+go-peertracker+helm-charts-flex,6763,2891,1355,2783,382,2135,27,2135,Spiffe,spiffe.io
openGemini,openGemini+opengemini-client-go+opengemini-client-java+openGemini.github.io+opengemini-client-python+opengemini-client-cpp+website+opengemini-client-rust+openGemini-cli+opengemini-client-go-application+community+opengemini-client-ts+gemix+data-migration-tools+pr-title-checker+trino-openGemini-plugin+openGemini-trino-plugin+openGemini-mcp-server,3641,1569,1048,714,342,682,27,682,openGemini,opengemini.org
k8gb-io,k8gb+coredns-crd-plugin,3632,721,347,2536,92,2472,26,2472,K8GB,github.com/AbsaOSS/k8gb
buildpacks+buildpacks-community,registry-index+pack+docs+kpack+lifecycle+rfcs+github-actions+libcnb+community+profile+spec+imgutil+registry-api+samples+kpack-cli+tekton-integration+homebrew-kpack-cli+homebrew-tap+pack-orb+registry-namespaces+ci+lifecycle-private+invites,7086,2283,628,4336,305,3870,26,3870,Buildpacks,buildpacks.io
keptn,lifecycle-toolkit+lifecycle-toolkit-charts+community+integrations,3384,1015,337,2851,57,1975,26,1975,Keptn,kepth.sh
cozystack+aenix-io,cozystack+website+etcd-operator+cozystack-website+cozyauth+talm+talm+talos-bootstrap+talos-bootstrap+cozy-proxy+cozycoder+cozypkg+.github+cozy-proxy+ingress-nginx-with-protobuf-exporter+community+cozystack-telemetry-server+cozystack-telemetry-server+examples,4217,1111,978,2553,312,1816,26,1816,CozyStack,cozystack.io
dragonflyoss,client+dragonfly+Dragonfly2+d7y.io+nydus+api+helm-charts+console+community+perf-tests+vortex+design+monitoring+vortex-protocol+helmfile+.github+Dragonfly,10329,3980,2942,3021,496,2911,25,2911,Dragonfly,d7y.io/en-us
kube-burner,kube-burner+kube-burner-ocp+kube-burner-demos,3076,1950,614,387,143,369,25,369,kube-burner,cloud-bulldozer.github.io/kube-burner/
interTwin-eu,interLink+interlink-slurm-plugin+interlink-helm-chart+interlink-docker-plugin+interlink-htcondor-plugin+interlink-arc-plugin+interlink-monitoring-stack+interlink-jhub+vk-test-set+interlink-kueue-plugin,1055,313,231,524,136,375,25,375,Interlink,interwin.eu
kairos-io,kairos+AuroraBoot+kairos-agent+kairos-docs+packages+kairos-sdk+kairos-init+packages.kairos.io+enki+immucore+provider-kairos+kcrypt-challenger+kairos-framework+provider-kubeadm+community-bundles+kcrypt+osbuilder+provider-k3s+go-ukify+provider-nodeadm+provider-canonical+cluster-api-provider-kairos+provider-rke2+kairos-operator+netboot+go-nodepair+entangle-proxy+oci2sysext+community+helm-charts+kcrypt-discovery-challenger+linting-composite-action+actions+adr+kairos-factory-action+entangle,19322,5389,2700,11507,673,10560,24,10560,Kairos,kairos.io
ratify-project,ratify+ratify-web+ratify-go+ratify-verifier-go+ratify-cli+.github+ratify-containerd+ratify-verifier-plugin+docker-ratify+community,6183,3972,978,1158,211,1022,24,1022,Ratify,ratify.dev
jozu-ai+kitops-ml+aenix-io,kitops+kitops+pykitops+pykitops+daggerverse+gh-kit-setup+homebrew-kitops+gh-kit-setup+cozystack-gitops-example+.github+daggerverse,3110,1655,662,759,246,547,24,547,KitOps,kitops.ml
KusionStack,karpor+kusion+charts+kuperator+kusionstack.io+operating+rollout+kube-utils+kusion-module-framework+kube-api+catalog+kusionstack.github.io+karpor-landing-page+kusion-typescript-sdk+community+kusion-backstage-plugin+terraform-provider-karpor+.github+controller-mesh+konfig+kam+kusion-module-scaffolding+scoop-bucket+kusion-api-go+kusion-landing-page+homebrew-tap+devcontainer-features+kusion-templates+2024-annual-report+vscode-kusion+kusion-actions+resourceconsist+component-base,5597,2166,1425,1978,424,1582,24,1582,KusionStack,kusionstack.io
shipwright-io,build+website+cli+community+operator+triggers+sample-go+.github+setup+sample-nodejs,2085,1221,297,744,139,428,24,428,Shipwright,shipwright.io
loxilb-io,loxilb+loxilbdocs+kube-loxilb+loxilb-ebpf+loxilb-ingress+loxicmd+loxilib+tools+demo-examples+libbpf,1939,350,569,1547,114,906,24,906,LoxiLB,loxilb.io
k8up-io,k8up+website,517,148,60,376,29,280,24,280,K8up,k8up.io
project-copacetic,copacetic+copa-extension+copa-action+scanner-plugin-template,2622,1432,413,706,193,584,23,584,Copacetic,project-copacetic.github.io/copacetic
AthenZ,athenz+k8s-athenz-sia+garm+authorization-proxy+terraform-provider-athenz+athenz-authorizer+k8s-athenz-istio-auth+athenz-issuer+csi-driver-athenz+k8s-athenz-syncer+website+athenz-client-sidecar,3009,1261,798,1161,60,890,23,890,Athenz,athenz.io
keylime,keylime+rust-keylime+enhancements+meetings+keylime.github.io+keylime-vagrant-ansible-tpm-emulator+spire-keylime-plugin+attestation-operator,2185,1131,418,591,166,470,23,470,Keylime,keylime.dev
kubewarden,helm-charts+kubewarden-controller+policy-server+kwctl+docs+policy-catalog+audit-scanner+kubewarden.io+policy-evaluator+community+rego-policies-library+kubewarden-end-to-end-tests+cel-policy+github-actions+kubecon-24-eu-kubewarden+pod-privileged-policy+policy-sdk-js+deprecated-api-versions-policy+rfc+policy-fetcher+verify-image-signatures+user-group-psp-policy+fleet-example+automation+environment-variable-policy+gostubpkg+allowed-proc-mount-types-psp-policy+env-variable-secrets-scanner-policy+allow-privilege-escalation-psp-policy+capabilities-psp-policy+apparmor-psp-policy+image-cve-policy+context-aware-demo+host-namespaces-psp-policy+selinux-psp-policy+trusted-repos-policy+kyverno-dsl-policy+unique-service-selector-policy+seccomp-psp-policy+psa-label-enforcer-policy+container-resources-policy+allowed-fsgroups-psp-policy+pod-runtime-class-policy+persistentvolumeclaim-storageclass-policy+echo+readonly-root-filesystem-psp-policy+sleeping-policy+flexvolume-drivers-psp-policy+volumeMounts-policy+share-pid-namespace-policy+policy-sdk-dotnet+pod-ndots-policy+ingress-policy+rancher-project-propagate-labels+namespace-label-propagator-policy+raw-validation-policy+rancher-kubectl-builder+go-wasi-context-aware-test-policy+k8s-objects-generator+policy-sdk-rust+hostpaths-psp-policy+context-aware-test-policy+do-not-expose-admission-controller-webhook-services-policy+sysctl-psp-policy+safe-labels-policy+disallow-service-loadbalancer-policy+raw-mutation-policy+unique-ingress-policy+rancher-project-quotas-namespace-validator+raw-mutation-wasi-policy+raw-validation-wasi-policy+safe-annotations-policy+volumes-psp-policy+go-wasi-policy-template+priority-class-policy+raw-validation-opa-policy+policy-sdk-go+disallow-service-nodeport-policy+go-policy-template+load-testing+strfmt+gatekeeper-policy-template+.github+opa-policy-template+rust-policy-template+swift-policy-template+context-aware-test-gatekeeper-policy+context-aware-test-opa-policy+policy-charts+dotnet-policy-template+policy-sdk-swift+k8s-objects+utils,22351,7213,5338,12749,792,9008,22,9008,kubewarden,kubewarden.io
kube-vip,kube-vip+helm-charts+kube-vip-cloud-provider+website+kube-gateway,1693,892,293,621,207,301,22,301,kube-vip,kube-vip.io
krkn-chaos,krkn+krkn-lib+krknctl+website+krkn-hub+krkn-lib-docs+krkn-dashboard+test-repo+krkn-demos+krkn-syn-flood+konflux-chaos+arcaflow-plugin-kill-pod+krkn-hog+krkn-network-chaos+krknctl-lightspeed+cerberus,3006,1043,698,1436,107,1158,22,1158,KrknChaos,github.com/redhat-chaos/krknChaos
parallaxsecond,rust-cryptoki+rust-tss-esapi+parsec-client-java+parsec+parsec-interface-rs+parsec-client-rust+parsec-tool+community+parsec-openssl-provider+parsec-se-driver,1674,1286,193,401,71,124,22,124,PARSEC,github.com/parallaxsecond/parsec
konveyor,kai+editor-extensions+tackle-ui-tests+tackle2-ui+kai-ci+kantra+analyzer-lsp+go-konveyor-tests+enhancements+tackle2-hub+rulesets+operator+tackle-documentation+java-analyzer-bundle+tackle2-addon-analyzer+ci+asset-generation+konveyor.github.io+tackle2-seed+release-tools+move2kube+windup-shim+tackle2-addon+tackle2-addon-discovery+move2kube-api+website+mig-demo-apps+community+static-report+move2kube-ui+tackle-keycloak-theme+move2kube-tests+rhdh-documentation+builder+move2kube-transformers+example-applications+move2kube-demos+move2kube-website+tackle-testapp-public+methodology+tackle2-addon-platform,17641,8819,4154,3534,1538,3130,21,3130,Konveyor,konveyor.io
oras-project,oras+oras-go+oras-java+oras-dotnet+oras-www+oras-py+rust-oci-client+setup-oras+community,8459,5878,1135,1246,446,1000,21,1000,ORAS,oras.land
project-zot,zot+zui+helm-charts+project-zot.github.io,2909,1918,467,347,187,337,21,337,zot,zotregistry.io
projectcapsule+clastix,capsule+capsule-proxy+cortex-proxy+website+capsule-addon-fluxcd+charts+cortex-tenant+capsule-addon-cloudcasa,2716,897,607,1128,111,1101,21,1101,Capsule,capsule.clastix.io
ko-build,ko+terraform-provider-ko+setup-ko,916,355,214,443,42,305,21,305,ko,ko.build
oscal-compass,compliance-trestle+community+compliance-to-policy-go+oscal-sdk-go+compliance-trestle-demos+compliance-trestle-fedramp+compliance-to-policy+e2e-demo+e2e-demo-cac-catalog-cis+e2e-demo-cd+oscal-compass.github.io+e2e-demo-profile+.github+e2e-demo-compliance-posture+e2e-demo-cac-profile-cis+e2e-demo-cac-cd-cis-rhel9+sdk-conformance+e2e-demo-catalog+compliance-trestle-agile-authoring+e2e-demo-cac-cd-nist-ubuntu+e2e-demo-cac-ssp-cis+e2e-demo-ssp+oscal-content+compliance-trestle-ssp-demo+e2e-demo-pac-xccdf-rhel9+infrastructure-workflows+content+e2e-demo-cd-ubuntu+e2e-demo-pac-xccdf-ubuntu+e2e-demo-mapping+e2e-demo-ssp2+e2e-demo-xccdf-ubuntu+oscal-insights,3670,1484,612,1396,441,1133,20,1133,TrestleGRC,oscal-compass.github.io
kubean-io,kubean+kubean-helm-chart+kube-node-tuning+kubean-manifest+kubean-api,1197,224,331,820,42,600,20,600,Kubean,kubean-io.github.io/kubean/
