org,repo,activity,comments,prs,commits,issues,authors,project,url
ReactiveX,RxJava+RxSwift,781,580,68,70,63,37,ReactiveX,""
sakaiproject,sakai,776,391,168,182,35,36,Sakai,sakaiproject.org
StackStorm,st2+st2contrib,812,417,110,242,43,35,StackStorm,""
Microsoft,CNTK,1046,440,13,486,107,34,Microsoft Cognitive Toolkit,cntk.ai
TrinityCore,TrinityCore,1978,1448,82,261,187,34,TrinityCore,trinitycore.org
owncloud,core+client,2866,2148,123,239,356,34,ownCloud,owncloud.org
mantidproject,mantid,2246,872,186,1013,175,34,Mantid,mantidproject.org
telerik,kendo-ui-core,621,84,13,467,57,33,Telerik,telerik.com
akka,akka,1181,854,108,113,106,33,akka,""
playframework,playframework,1137,679,198,186,74,33,playframework,""
OpenRCT2,OpenRCT2+Localisation,1269,708,161,273,127,33,OpenRCT2,openrct2.website
scipy,scipy,737,557,69,66,45,33,scipy,""
mesosphere,marathon+marathon-lb,1354,713,113,335,193,32,Mesosphere,mesosphere.com
rapid7,metasploit-framework,679,496,82,68,33,31,Rapid7,rapid7.com
EFForg,https-everywhere,726,433,147,96,50,31,HTTPS Everywhere,eff.org/https-everywhere
openframeworks,openFrameworks+ofSite,949,555,182,131,81,31,openframeworks,""
Polymer,polymer+docs,1135,809,71,137,118,31,Polymer,""
scikit-learn,scikit-learn,1378,1128,108,57,85,30,scikit-learn,""
auth0,docs,376,53,104,160,59,30,Auth0,auth0.com
acemod,ACE3,1311,828,115,269,99,30,acemod,""
pantheon-systems,documentation,553,170,86,272,25,30,pantheon-systems,""
CleverRaven,Cataclysm-DDA,1698,1251,197,122,128,29,Cataclysm-DDA,en.cataclysmdda.com
bazelbuild,bazel,694,470,17,82,125,29,bazelbuild,""
meteor,meteor+guide,1872,1405,61,184,222,29,Meteor,meteor.com
systemd,systemd,1168,825,152,76,115,29,systemd,""
DataDog,dd-agent,626,272,63,274,17,29,DataDog,""
Baystation12,Baystation12,869,451,171,183,64,29,Baystation12,baystation12.net
wordpress-mobile,WordPress-iOS+WordPress-Android,2018,941,161,790,126,29,WordPress-mobile,make.wordpress.org/mobile
TEAMMATES,teammates+repo,1010,718,78,167,47,28,TEAMMATES,teammatesv4.appspot.com
SpongePowered,SpongeAPI+SpongeCommon,1208,576,80,472,80,28,SpongePowered,""
neo4j,neo4j,843,364,207,242,30,28,neo4j,""
conda,conda+conda-build,1056,660,55,223,118,28,conda,""
duckduckgo,zeroclickinfo-goodies+zeroclickinfo-spice,1381,750,484,98,49,27,DuckDuckGo,duckduckhack.com
NodeDC,es2015-in-node,152,45,33,43,31,27,NodeDC,""
hazelcast,hazelcast,1116,684,137,210,85,27,hazelcast,""
druid-io,druid,1085,727,139,175,44,27,druid-io,""
fpco,stackage,348,168,27,122,31,27,Hackage,stackage.org
graalvm,truffle+graal-core,834,509,135,164,26,27,graalvm,""
google,WebFundamentals,498,218,83,149,48,27,Google WebFundamentals,developers.google.com/web/fundamentals
