org,repo,activity,comments,prs,commits,issues,authors,project,url
glpi-project,glpi,2020,1067,238,427,288,24,glpi-project,""
ceph,ceph-ansible,1125,618,126,317,64,24,ceph,""
swimlane,ngx-datatable,1147,804,61,88,194,24,swimlane,""
awesomeWM,awesome,1777,1339,150,116,172,24,awesomeWM,""
OrchardCMS,Orchard,616,384,50,88,94,24,OrchardCMS,""
,lkzhao/Hero,1006,586,31,261,128,24,lkzhao/Hero,""
Shippable,base,828,175,236,233,184,24,Shippable,""
FTL13,FTL13,638,276,126,122,114,24,FTL13,""
bolt,bolt,1686,951,216,423,96,24,bolt,""
HerculesWS,Hercules,813,544,73,144,52,24,HerculesWS,""
,Manishearth/rust-clippy,998,625,80,139,154,24,Manishearth/rust-clippy,""
spree,spree,391,187,92,72,40,24,Spree,guides.spreecommerce.org
,rpherbig/dr-scripts,992,441,154,258,139,24,rpherbig/dr-scripts,""
azerothcore,azerothcore-wotlk,722,474,40,102,106,24,azerothcore,""
QCoDeS,Qcodes,800,359,91,310,40,24,QCoDeS,""
pyinstaller,pyinstaller,1349,1095,63,53,138,24,pyinstaller,""
antlr,antlr4,1587,1195,146,153,93,23,antlr,""
aframevr,aframe,1172,834,147,66,125,23,aframevr,""
ckan,ckan,811,510,69,153,79,23,ckan,""
qbittorrent,qBittorrent,3175,2653,100,106,316,23,qbittorrent,""
openstates,openstates,1305,636,193,294,182,23,openstates,""
nipy,nipype,775,529,103,90,53,23,nipy,""
,kwsch/PKHeX,1357,598,127,431,201,23,kwsch/PKHeX,""
fusionpbx,fusionpbx,1380,348,92,849,91,23,fusionpbx,""
firebase,functions-samples,391,240,35,62,54,23,firebase,""
haskell,cabal,1386,1016,119,141,110,23,haskell,""
openemr,openemr,1412,983,131,227,71,23,openemr,""
espressif,esp-idf,1438,1087,65,59,227,23,espressif,""
,endless-sky/endless-sky,3869,3306,98,183,282,23,endless-sky/endless-sky,""
habitat-sh,habitat,1445,686,236,391,132,23,habitat-sh,""
centreon,centreon,1447,449,83,724,191,23,centreon,""
broadinstitute,gatk,1566,1016,100,318,132,23,Broad Institute,broadinstitute.org
SAPDocuments,Tutorials,653,164,61,224,204,23,SAPDocuments,""
robotology,yarp,606,226,64,268,48,23,robotology,""
pi-hole,pi-hole,1999,1349,155,347,148,23,pi-hole,""
redfin,react-server,594,403,72,71,48,23,redfin,""
ScreepsOCS,screeps.behaviour-action-pattern,4505,2090,488,1648,279,23,ScreepsOCS,""
realm,realm-core,2142,1172,143,795,32,23,realm,""
Netflix,security_monkey,567,303,91,98,75,23,Netflix,""
date-fns,date-fns,538,203,67,229,39,23,date-fns,""
HospitalRun,hospitalrun-frontend,517,226,69,182,40,23,HospitalRun,""
,samselikoff/ember-cli-mirage,491,348,35,60,48,23,samselikoff/ember-cli-mirage,""
OpenRA,OpenRA,2504,1876,222,185,221,23,OpenRA,""
SparkDevNetwork,Rock,957,300,72,489,96,23,SparkDevNetwork,""
gocd,gocd,991,554,169,150,118,23,gocd,""
ligo-cbc,pycbc,889,412,170,272,35,23,ligo-cbc,""
future-architect,vuls,469,171,82,172,44,22,future-architect,""
alliance-genome,agr,680,252,84,258,86,22,alliance-genome,""
airbnb,lottie-android,999,546,77,232,144,22,Lottie,airbnb.design/lottie
ESMCI,cime,1639,949,153,346,191,22,ESMCI,""
TryGhost,Ghost,1682,909,176,443,154,22,TryGhost,""
,airyland/vux,2511,1614,71,409,417,22,airyland/vux,""
mruby,mruby,640,276,58,157,149,22,mruby,""
termux,termux-packages,1690,1011,94,425,160,22,termux,""
text-mask,text-mask,1153,748,75,226,104,22,text-mask,""
fluent,fluentd,850,428,70,290,62,22,Fluentd,fluentd.org
openaddresses,openaddresses,1980,916,300,627,137,22,openaddresses,""
,pydanny/cookiecutter-django,429,201,32,152,44,22,pydanny/cookiecutter-django,""
patternfly,patternfly-design,593,247,104,210,32,22,patternfly,""
atomist,rug,2098,610,214,1131,143,22,atomist,""
chocolatey,chocolatey-coreteampackages,1037,598,116,284,39,22,chocolatey,""
,Geal/nom,290,166,41,52,31,22,Geal/nom,""
mapsme,omim,2220,1086,522,525,87,22,MAPS.ME,maps.me
uikit,uikit,2273,1363,37,502,371,22,uikit,""
appirio-tech,topcoder-app,904,581,78,116,129,22,appirio-tech,""
,ncw/rclone,2317,1879,33,110,295,22,ncw/rclone,""
koajs,koa,520,385,41,56,38,22,koajs,""
,bjorn/tiled,860,601,44,157,58,22,bjorn/tiled,""
jwplayer,jwplayer,1333,432,219,612,70,22,jwplayer,""
ofiwg,libfabric,771,403,160,148,60,22,ofiwg,""
,Neilpang/acme.sh,1296,774,158,259,105,22,Neilpang/acme.sh,""
,honestbleeps/Reddit-Enhancement-Suite,903,283,217,318,85,22,honestbleeps/Reddit-Enhancement-Suite,""
WikiEducationFoundation,WikiEduDashboard,757,170,68,456,63,22,WikiEducationFoundation,""
HippieStationCode,HippieStation13,2408,2150,105,79,74,22,HippieStationCode,github.com/HippieStationCode/HippieStation13
scality,S3,2408,849,134,1388,37,22,scality,""
,racaljk/hosts,1385,1139,69,76,101,22,racaljk/hosts,""
rathena,rathena,960,588,45,185,142,22,rathena,""
terasolunaorg,guideline,1418,465,187,654,112,22,terasolunaorg,""
EC-CUBE,ec-cube,885,523,143,118,101,22,EC-CUBE,""
NREL,EnergyPlus,1291,674,74,498,45,22,NREL,""
SatelliteQE,robottelo,1445,766,271,288,120,22,SatelliteQE,""
freifunk-gluon,gluon,703,453,47,165,38,22,freifunk-gluon,""
bigchaindb,bigchaindb,1539,572,199,611,157,22,bigchaindb,""
phpstan,phpstan,917,592,44,169,112,21,phpstan,""
esp8266,Arduino,1474,1126,39,64,245,21,esp8266,""
,McSwaggens/AimTux,1523,810,73,481,159,21,McSwaggens/AimTux,""
openMF,community-app,1123,660,190,116,157,21,openMF,""
flowable,flowable-engine,686,261,103,220,102,21,flowable,""
saltstack,salt,7208,5436,921,59,792,21,SaltStack,repo.saltstack.com
Pitt-CSC,club_project_2017,455,298,47,52,58,21,Pitt-CSC,""
