org,repo,activity,comments,prs,commits,issues,pushes,authors,project,url
strimzi,strimzi-kafka-operator+strimzi.github.io+proposals+strimzi-kafka-bridge+kafka-access-operator+drain-cleaner+metrics-reporter+strimzi-kafka-oauth+test-container+awesome-strimzi+test-clients+strimzi-mqtt-bridge+kafka-kubernetes-config-provider+client-examples+governance+test-container-images,13406,10466,1180,1790,474,1286,126,Strimzi,strimzi.io
opentofu,opentofu+registry+opentofu-schema+opentofu.org+opentofu-ls+tofu-ls+registry-ui+vscode-opentofu+org+setup-opentofu+tofudl+scripts+get.opentofu.org+libregistry+opentofu-mcp-server+provider-client+tofu-exec+manifesto+opentofu-performance-testing+terraform-provider-lua+tofutestutils,28039,7508,1731,46799,2141,16659,126,OpenTofu,opentofu.org
opencost,opencost+opencost-helm-chart+opencost-website+opencost-ui+opencost-infra+opencost-integration-tests+opencost-parquet-exporter+opencost-plugins+opencost-version-compare,3803,1770,878,1480,177,978,124,OpenCost,kubecost.com
confidential-containers,trustee+cloud-api-adaptor+guest-components+operator+confidentialcontainers.org+confidential-containers+kbs-types+td-shim+trustee-operator+charts+enclave-cc+.github+confidential-containers.github.io,9596,6986,1336,2080,346,928,124,Confidential Containers,github.com/confidential-containers
perses,perses+plugins+website+helm-charts+community-dashboards+community-mixins+perses-operator+common+mcp-server+promql-builder+shared+metrics-usage+examples-plugin+github-actions+homebrew-tap+cli-actions,9010,4329,1840,3753,543,2298,121,Perses,perses.dev
runatlantis,atlantis+helm-charts+terraform-gce-atlantis+atlantis-contrib+atlantis-tests,3572,1383,451,1397,185,1553,119,Atlantis,runatlantis.io
coredns,coredns+helm+ci+coredns.io+corefile-migration+rrl+deployment+multicluster,2130,965,464,647,153,548,115,CoreDNS,coredns.io
konveyor,tackle2-ui+editor-extensions+kai+kantra+analyzer-lsp+tackle-ui-tests+enhancements+rulesets+operator+tackle2-hub+ci+go-konveyor-tests+java-analyzer-bundle+kantra-cli-tests+konveyor.github.io+asset-generation+kai-ci+release-tools+tackle2-seed+c-sharp-analyzer-provider+mig-demo-apps+tackle2-addon-discovery+windup-shim+static-report+tackle2-addon-analyzer+community+mta-tackle2-addon-platform+tackle-documentation+tackle2-addon+tackle2-addon-platform+builder+cf-k8s-helm-chart+hack_env_helpers+maven-search-index+move2kube-tests+rhdh-documentation+tackle-keycloak-theme+example-applications+move2kube-website,14098,6886,3082,3875,1784,2346,115,Konveyor,konveyor.io
rook,rook+kubectl-rook-ceph+rook.github.io,10127,7460,1053,2925,484,1130,111,Rook,rook.io
kubescape,helm-charts+kubescape+kubescape.io+operator+regolibrary+regolibrary-dev+headlamp-plugin+node-agent+storage+k8s-interface+cel-admission-library+kubevuln+messaging+synchronizer+backend+host-scanner+opa-utils+rulelibrary+homebrew-tap+prometheus-exporter+sizing-checker+workflows+workshops+load-simulator+packaging+project-governance+http-request+lens-extension+backstage-plugin+gateway+go-logger+vscode-kubescape,5070,1393,1223,3356,166,2288,111,Kubescape,github.com/kubescape
microcks,microcks+microcks.io+hub.microcks.io+.github+community+microcks-aspire+microcks-testcontainers-dotnet+microcks-cli+microcks-operator+microcks-quarkus+microcks-testcontainers-go+community-mocks+microcks-quickstarters+microcks-testcontainers-node+microcks-backstage-provider+microcks-docker-desktop-extension+microcks-go-client+microcks-java-client+microcks-jenkins-plugin+microcks-postman-runtime+microcks-quarkus-demo+microcks-testcontainers-dotnet-demo+microcks-testcontainers-java+homebrew-tap+microcks-testcontainers-go-demo+microcks-testcontainers-java-spring-demo+microcks-testcontainers-node-nest-demo+microcks-ansible-operator+microcks-images+microcks-spectral-ruleset+api-lifecycle+import-github-action+microcks.github.io+test-github-action+api-tooling+microcks-aspire-demo,6723,2929,1096,2582,1006,1692,110,Microcks,microcks.io
cadence-workflow,cadence+Cadence-Docs+cadence-go-client+cadence-web+cadence-idl+cadence-samples+cadence-java-client+cadence-charts+starlark-worker+cadence-python-client+cadence-java-samples+.github,9448,5932,1934,3110,452,1130,109,Cadence,cadenceworkflow.io
operator-framework,operator-controller+operator-lifecycle-manager+java-operator-sdk+operator-marketplace+operator-registry+operator-sdk+helm-operator-plugins+kubectl-operator+api+josdk-spring-boot-starter+ansible-operator-plugins+josdk-webhooks+operator-lib+catalogd+webhook-operator+deppy+olm-docs+operator-manifest-tools+java-operator-plugins+test-operator+audit+community+kpm+tilt-support,13643,9376,1897,2480,422,1948,108,Operator Framework,operatorhub.io
openkruise,kruise+openkruise.io+kruise-game+rollouts+agents+charts+kruise-tools,2504,1401,541,497,238,324,107,OpenKruise,openkruise.io
openebs,openebs+lvm-localpv+mayastor-extensions+zfs-localpv+dynamic-localpv-provisioner+rawfile-localpv+mayastor-control-plane+mayastor+openebs-e2e+website+mayastor-dependencies+spdk-rs+monitoring+community+lib-csi+.github+linux-utils+openebsctl+google-analytics-4+mayastor-chart-donotuse+mayastor-jenkins-cron+velero-plugin+mayastor-docs+openebs-chart-donotuse+performance-benchmark,15674,8059,1274,6132,356,5985,107,OpenEBS,openebs.io
thanos-io,thanos+promql-engine+objstore+thanos-parquet-gateway+protoc-gen-go-thanos+kube-thanos,2979,1747,511,781,166,555,105,Thanos,thanos.io
longhorn+rancher,website+longhorn+longhorn+longhorn-manager+longhorn-tests+longhorn-spdk-engine+longhorn-instance-manager+longhorn-ui+cli+longhorn-engine+go-spdk-helper+longhorn-share-manager+backupstore+dep-versions+types+backing-image-manager+release+upgrade-responder+go-common-libs+charts+go-iscsi-helper+nfs-backupstore+external-image-builder+sparse-tools,26714,15649,3410,6479,2648,5007,105,Longhorn,github.com/longhorn
dragonflyoss,client+dragonfly+nydus+community+d7y.io+helm-charts+api+design+console+vortex+vortex-protocol+dragonfly-injector+perf-tests+.github+helmfile+image-service-website+monitoring+snapshotter,8606,3740,2185,2329,542,2139,101,Dragonfly,d7y.io/en-us
cedar-policy,cedar+cedar-spec+cedar-examples+cedar-docs+cedar-java+authorization-for-expressjs+cedar-for-agents+cedar-go+cedar-integration-tests+rfcs+prism-cedar+cedar-authorization+highlightjs-cedar+cedar-access-control-for-k8s+cedar-awesome+cedar-local-agent+vscode-cedar,8372,5052,1216,2582,211,1893,96,Cedar Policy,cedarpolicy.com
kubevela,kubevela+kubevela.github.io+workflow+velaux+pkg+catalog+kube-trigger+kubevela-core-api+community+prism+velad+samples+terraform-controller+charts,1955,1000,373,383,400,182,95,KubeVela,kubevela.io
open-cluster-management-io,ocm+api+open-cluster-management-io.github.io+clusteradm+sdk-go+addon-framework+enhancements+lab+addon-contrib+cluster-permission+policy-collection+managed-serviceaccount+cluster-proxy+community+config-policy-controller+governance-policy-addon-controller+governance-policy-propagator+governance-policy-framework-addon+helm-charts+multicloud-operators-subscription+policy-generator-plugin+multicloud-integrations+multicloud-operators-channel+argocd-pull-integration+multicluster-controlplane+ocm-vscode-extension,7097,4823,918,1602,221,1135,94,Open Cluster Management,open-cluster-management.io
kairos-io,kairos-docs+AuroraBoot+kairos-init+kairos-agent+kairos+provider-kubeadm+kairos-sdk+packages+community-bundles+hadron+provider-kairos+provider-canonical+immucore+osbuilder+kairos-factory-action+kairos-must-burn+kcrypt+kcrypt-challenger+kcrypt-discovery-challenger+provider-k3s+go-ukify+helm-charts+kairos-framework+kairos-operator+community+netboot+packages.kairos.io+provider-nodeadm+provider-rke2+actions+linting-composite-action+oci2sysext+adr+cluster-api-provider-kairos+entangle-proxy+go-nodepair+ipxe-dhcp+tpm-helpers,14276,4001,1647,8117,602,8026,94,Kairos,kairos.io
kubeedge,kubeedge+ianvs+website+dashboard+community+sedna+examples+mapper-framework+api+keink+beehive,4310,3077,685,1025,263,285,92,KubeEdge,kubeedge.io
Kuadrant,kuadrant-operator+mcp-gateway+limitador-operator+dns-operator+authorino-operator+kuadrant-console-plugin+kuadrant.github.io+architecture+docs.kuadrant.io+limitador+testsuite+authorino+testsuite-pipelines+wasm-shim+kuadrant-backstage-plugin+kuadrantctl+policy-machinery+gateway-api-console-plugin+helm-charts+kserve-poc+developer-portal-controller+gateway-api-state-metrics+Kuadrant-MCP-Walkthrough+inferno+speaking-through-policies+authorino-examples+deployment+mcp-envoy-wasm+kuadra+kuadrant-mcp-poc+kuadrant-mcp-server+react-policy-topology,10619,6110,1270,5311,983,2256,92,Kuadrant,kuadrant.io
metal3-io,baremetal-operator+metal3-docs+cluster-api-provider-metal3+ironic-image+ironic-standalone-operator+project-infra+ip-address-manager+metal3-dev-env+metal3-io.github.io+utility-images+ironic-ipa-downloader+community+mariadb-image+.github+ironic-hardware-inventory-recorder-image,17383,13604,1110,5406,211,2458,92,Metal³,metal3.io
wasmCloud,wasmCloud+wash+wasmcloud.com+go+typescript+wadm+wadm-operator+wasmcloud-operator+runtime-operator+chocolatey-wash+nats-jwt-rs+homebrew-wasmcloud+wadge+setup-wash-action+component-sdk-go+contrib+go-vanity-urls+nkeys+provider-sdk-go+actions+cabish+wasmcloud-js,8096,3499,1945,3750,275,2377,89,wasmCloud,wasmcloud.com
oras-project,oras+oras-www+oras-dotnet+oras-java+oras-go+oras-py+rust-oci-client+setup-oras+community+oras-mcp,6978,4648,954,1578,408,968,89,ORAS,oras.land
buildpacks+buildpacks-community,pack+docs+kpack+lifecycle+spec+community+imgutil+github-actions+rfcs+libcnb+profile+kpack-cli+registry-index+registry-api+samples+registry-namespaces+homebrew-tap+pack-orb,4362,1093,383,3802,217,2669,86,Buildpacks,buildpacks.io
kubeovn,kube-ovn+docs+endpoint-health-checker+dnsnameresolver+.github,4983,1564,967,2000,291,2161,85,Kube-OVN,kube-ovn.io
kcl-lang,kcl+modules+kcl-lang.io+kpm+kcl-go+cli+flux-kcl-controller+kcl-openapi+krm-kcl+lib+intellij-kcl+helm-kcl+homebrew-tap+kcl-operator+kcl-plugin+kpt-kcl+kubectl-kcl+vscode-kcl+examples+kcl-playground+tree-sitter-kcl+konfig+scoop-bucket,1577,604,341,1252,232,400,85,KCL,kcl-lang.io
cloud-custodian,cloud-custodian+tfparse+cel-python+poetry-plugin-freeze+pytest-terraform,2272,1197,488,359,308,279,83,Cloud Custodian,cloudcustodian.io
oauth2-proxy,oauth2-proxy+manifests+e2e-suite+tools,2571,1303,284,803,238,746,81,OAuth2-Proxy,oauth2-proxy.dev
WasmEdge,WasmEdge+devcontainer+docs+wasmedgeup+Rust_coder+www+cpp-plugins+wasmedge-spectest+homebrew+homebrew-llvm,4561,2756,573,1649,235,997,78,WasmEdge Runtime,wasmedge.org
bootc-dev+containers,bootc+bootc+ci-sandbox+bcvk+ocidir-rs+podman-bootc+bootc-dev.github.io+infra+containers-image-proxy-rs+canon-json-rs,5048,3338,708,4122,321,681,77,bootc,containers.github.io/bootc
k0sproject,k0s+k0smotron+k0sctl+k0sproject.github.io+blog+image-builder+rig+version+bootloose+cni-node+k0smotron.io+homebrew-tap+dig+community+get+test,6786,3015,1451,4618,402,1918,76,k0s,k0sproject.io
inspektor-gadget,inspektor-gadget+website+headlamp-plugin+ig-desktop+ig-mcp-server+gadget-template+charts+Contribfest-KubeCon-Europe2025+Contribfest-KubeCon-NA2025+ig-benchmarks+ig-test-reports,12362,5157,1032,8261,317,5856,75,Inspektor Gadget,inspektor-gadget.io
spiffe,spire,3391,1699,466,959,204,1022,74,Spire,spiffe.io
cortexproject,cortex+cortex-helm-chart+promqlsmith+auth-gateway+test-infra,4439,2614,676,1135,175,974,74,Cortex,github.com/cortexproject
kubearmor,KubeArmor+kubearmor-client+policy-templates+kubearmor-relay-server+kubearmor.io+otel-adapter+grafana-datasource+k8tls+packer-plugin-kubearmor+rancherui+charts,4162,1300,334,2315,153,2375,74,KubeArmor,accuknox.com/kubearmor
lima-vm,lima+socket_vmnet+go-qcow2reader+sshocker+alpine-lima+lima-actions,8198,5879,1040,1854,529,750,72,Lima,github.com/lima-vm/lima
linkerd,linkerd2+website+linkerd2-proxy+linkerd2-proxy-init+dev+linkerd-extension-init+linkerd2-proxy-api+linkerd-await+drain-rs+k8s-gateway-api-rs+linkerd-failover,7869,3157,1701,3663,122,2889,72,Linkerd,linkerd.io
connectrpc,connectrpc.com+connect-swift+connect-go+connect-es+validate-go+connect-python+otelconnect-go+conformance+connect-kotlin+connect-query-es+vanguard-go+connect-playwright-es+connect-dart+examples-es+grpcreflect-go+authn-go+awesome-connect+validate-es+cors-go+grpchealth-go+.github+envoy-demo+examples-go,3644,1468,739,1563,208,1229,71,Connect,connectrpc.com
in-toto,go-witness+attestation+witness+archivista+friends+in-toto+helm-charts+in-toto-golang+in-toto.io+attestation-verifier+in-toto-rs+scai-demos+demo+community+specification+ITE,3549,1480,719,1548,81,1269,71,in-toto,in-toto.io
koordinator-sh,koordinator+website+charts+yarn-copilot+apis+community+client-java,2353,1667,280,409,138,268,70,Koordinator,koordinator.sh
fermyon+spinframework,spin+spin+spin-docs+spin-operator+spin-plugins+spin-plugins+runtime-class-manager+spin-rust-sdk+containerd-shim-spin+spin-js-sdk+spin-rust-sdk+spin-plugin-kube+spinkube-docs+spin-trigger-command+spin-trigger-command+spin-trigger-mqtt+spin-trigger-sqs+homebrew-tap+spin-go-sdk+spin-trigger-sqs+actions+spin-fileserver+spin-js-sdk+spin-python-sdk+spin-trigger-cron+governance+http-auth-middleware+rust-docs+spin-deps-plugin+spin-python-sdk+spin-test+spin-trigger-cron+js-wasi-ext+spin-redirect+spinkube-governance+azure+community+skips+spin-dotnet-sdk,5784,3342,1013,3079,418,1011,70,Spin,developer.fermyon.com/spin
cubefs,cubefs+cubefs-csi+cubefs_blog+cubefs-helm+cubefs-community,1403,718,323,3223,208,154,68,CubeFS,cubefs.io
youki-dev,youki+oci-spec-rs,1964,1333,225,515,83,323,68,Youki,containers.github.io/youki
kube-rs,kube+gateway-api-rs+kopium+website+controller-rs+envtest+k8s-pb+version-rs,1855,927,278,808,117,533,68,kube-rs,docs.rs/kube
project-zot,zot+helm-charts+project-zot.github.io+zui,3076,2146,388,400,203,339,67,zot,zotregistry.io
cartography-cncf,cartography+cartography.dev,4378,2082,576,1711,183,1537,66,Cartography,lyft.github.io/cartography
radius-project,radius+docs+design-notes+samples+resource-types-contrib+bicep-types-aws+website+dashboard+bicep-tools+community+eshop+recipes,13210,7927,1198,2271,2311,1774,66,Radius,radapp.io
kube-burner,kube-burner-ocp+kube-burner+kube-burner-demos,2609,1680,496,403,132,301,66,kube-burner,cloud-bulldozer.github.io/kube-burner/
kcp-dev,kcp+helm-charts+apimachinery+code-generator+multicluster-provider+client-go+kcp-operator+api-syncagent+sdk+contrib+infra+cli+embeddedetcd+enhancements+krew-index+generic-controlplane+kcp.io+multicluster-provider-kubebuilder-example+logicalcluster,5377,3737,581,2837,205,854,65,kcp,kcp.io
cozystack+aenix-io,cozystack+cozystack-website+website+talm+talm+etcd-operator+talos-bootstrap+boot-to-talos+talos-bootstrap+cozy-proxy+.github+cozy-proxy+cozyhr+cozypkg+cozyvalues-gen+cozystack-telemetry-server+cozystack-telemetry-server+examples+external-apps-example+ingress-nginx-with-protobuf-exporter+community+readme-generator-for-helm+standalone-trustd,5804,1480,1276,4054,376,2672,65,CozyStack,cozystack.io
kubewarden,docs+helm-charts+kubewarden.io+policy-catalog+kubewarden-controller+policies+sbomscanner+kwctl+container-resources-policy+cel-policy+policy-evaluator+volumes-psp-policy+capabilities-psp-policy+do-not-expose-admission-controller-webhook-services-policy+high-risk-service-account-policy+hostpaths-psp-policy+labels-policy+pod-privileged-policy+priority-class-policy+seccomp-psp-policy+share-pid-namespace-policy+user-group-psp-policy+volumeMounts-policy+allowed-fsgroups-psp-policy+echo+env-variable-secrets-scanner-policy+environment-variable-policy+flexvolume-drivers-psp-policy+host-namespaces-psp-policy+ingress-policy+kyverno-dsl-policy+persistentvolumeclaim-storageclass-policy+pod-runtime-class-policy+policy-fetcher+policy-sdk-js+policy-server+rancher-project-quotas-namespace-validator+readonly-root-filesystem-psp-policy+rego-policies-library+safe-labels-policy+selinux-psp-policy+sysctl-psp-policy+verify-image-signatures+allow-privilege-escalation-psp-policy+allowed-proc-mount-types-psp-policy+annotations-policy+apparmor-psp-policy+deprecated-api-versions-policy+disallow-service-loadbalancer-policy+kubewarden-end-to-end-tests+namespace-label-propagator-policy+psa-label-enforcer-policy+safe-annotations-policy+trusted-repos-policy+unique-ingress-policy+unique-service-selector-policy+workload-annotations-policy+audit-scanner+community+context-aware-demo+disallow-service-nodeport-policy+image-cve-policy+pod-ndots-policy+rust-policy-template+github-actions+rfc+automation+js-policy-template+policy-sdk-dotnet+policy-sdk-go+raw-validation-opa-policy+.github+context-aware-test-policy+k8s-objects-generator+opa-policy-template+policy-sdk-rust+raw-mutation-policy+raw-mutation-wasi-policy+raw-validation-policy+raw-validation-wasi-policy+sleeping-policy+gatekeeper-policy-template+go-policy-template+go-wasi-context-aware-test-policy+go-wasi-policy-template+policy-charts+policy-sdk-swift+rancher-project-propagate-labels+fleet-example+gostubpkg+load-testing+strfmt+context-aware-test-gatekeeper-policy+context-aware-test-opa-policy+rancher-kubectl-builder+kubecon-24-eu-kubewarden+swift-policy-template+utils+k8s-objects,21356,6342,4391,25377,701,9922,65,kubewarden,kubewarden.io
kmesh-net,kmesh+website+orion+community+test-infra,4071,3192,362,1360,190,327,64,Kmesh,kmesh.net
kube-vip,kube-vip+helm-charts+website+kube-vip-cloud-provider+kube-gateway,1554,807,262,701,150,335,64,kube-vip,kube-vip.io
antrea-io,antrea+image-utils+antrea-ui+website+has-changes+antrea-releaser,9140,6923,791,1509,184,1242,62,Antrea,antrea.io
k8sgpt-ai,k8sgpt+k8sgpt-operator+docs+community+power_nerd+charts+go-custom-analyzer+homebrew-k8sgpt+kdev+website,2633,295,368,1873,143,1827,61,K8sGPT,k8sgpt.ai
pipe-cd,pipecd+community-plugins+docs-mcp-server+actions-event-register+actions-plan-preview+terraform-provider-pipecd+piped-plugin-sdk-go+examples+tutorial+actions-gh-release,6587,3363,1271,2515,141,1812,60,PipeCD,pipecd.dev
AthenZ,athenz+k8s-athenz-sia+authorization-proxy+terraform-provider-athenz+csi-driver-athenz+athenz-issuer+garm+athenz-authorizer+athenz-client-sidecar+k8s-athenz-syncer,1617,757,442,533,25,393,60,Athenz,athenz.io
HolmesGPT+robusta-dev,holmesgpt+holmesgpt+homebrew-holmesgpt,6656,2426,983,4713,144,3103,59,HolmesGPT,holmesgpt.dev
cri-o,cri-o+packaging+credential-provider+crio-credential-provider+ocicni+cri-o.io,5427,3441,442,2720,146,1398,59,CRI-O,cri-o.io
Azure+kubefleet-dev,fleet+kubefleet+website+fleet-networking+kubefleet-cookbook,6672,4982,843,1612,53,794,59,KubeFleet,github.com/Azure/fleet
hyperlight-dev,hyperlight+hyperlight-wasm+ci-setup-workflow+cargo-hyperlight+hyperlight-kubeconNA2024-demo+hyperlight-wasm-calculator-example+hyperlight-wasm-sockets-example+hyperlight-nanvix+wasm-udp-echo-sample,5511,3420,738,1343,340,1013,56,Hyperlight,hyperlight.org
kumahq,kuma+kuma-website+kuma-gui+kuma-counter-demo+ci-tools+envoy-builds+kuma-smoke,18750,9632,3191,4980,1191,4736,55,Kuma,kuma.io
KusionStack,karpor+kusion+charts+kusionstack.io+kube-api+kube-utils+rollout+kusion-module-framework+catalog+kube-xset+kuperator+kusion-backstage-plugin+terraform-provider-karpor+.github+2024-annual-report+controller-mesh+kam+karpor-landing-page+konfig+kusion-landing-page+kusion-module-scaffolding+kusion-typescript-sdk+resourceconsist+community+kusionstack.github.io+scoop-bucket,2367,948,542,997,143,734,55,KusionStack,kusionstack.io
CloudNativeAI+modelpack,modctl+model-spec+modctl+model-spec+vllm+model-csi-driver+community+modelpack.org,1746,883,393,955,77,393,54,ModelPack,github.com/CloudNativeAI/model-spec
werf,werf+nelm+website+trdl+kubedog+actions+common-go+trdl-vault-actions+logboek+trdl-actions+wormatter+.github+common-ci,5513,1185,1596,4600,146,2586,53,werf,werf.io
sustainable-computing-io,kepler+kepler-helm-chart+kepler-operator+kepler-metal-ci+kepler-doc+kepler-model-server+kepler-action+local-dev-cluster+community+susql-operator+clever,4352,2198,790,1893,163,1201,53,Kepler,sustainable-computing.io
cloudevents,sdk-go+spec+sdk-javascript+sdk-rust+sdk-python+sdk-java+sdk-ruby+cloudevents-web+sdk-php,1402,890,247,340,80,185,53,CloudEvents,cloudevents.io
kube-logging,logging-operator+kube-logging.github.io+fluentd-images+custom-runner+log-generator+telemetry-controller+syslogng-reload-image+fluentd-drain-watch+.github+node-exporter-image+fluent-plugin-label-router+log-socket,2628,799,476,1721,141,1212,52,Logging Operator,kube-logging.dev
krkn-chaos,krkn+website+krkn-hub+krkn-lib+krknctl+krkn-assist+krkn-lightspeed+chaos-ai+krkn-ai+krkn-chaos-ai+konflux-chaos+cerberus+krkn-dashboard+krkn-hog+visualize+chaos-member-check+krkn-demos+krkn-funtests+krkn-lib-docs+krkn-network-chaos+krkn-operator+krknctl-lightspeed+test-repo,3089,1223,692,2085,127,1047,51,KrknChaos,github.com/redhat-chaos/krknChaos
projectcontour,helm-charts+contour+contour-authserver+community,1667,633,430,661,79,525,50,Contour,projectcontour.io
Azure+project-dalec,dalec+dalec+dalec-vscode-extension,2241,1532,315,1402,114,280,49,Dalec,azure.github.io/dalec
cdfoundation,CICD-Cybersecurity+toc+tekton-helm-chart+foundation+artwork+cdf-landscape,498,198,106,265,63,131,49,CDF,cd.foundation
oscal-compass,community+compliance-to-policy-go+compliance-trestle+oscal-sdk-go+e2e-demo-cac-profile-cis+e2e-demo-profile+e2e-demo-cac-catalog-cis+e2e-demo-cac-cd-nist-ubuntu+e2e-demo-catalog+e2e-demo-cd+e2e-demo-cd-ubuntu+e2e-demo-compliance-posture+e2e-demo-ssp+e2e-demo-ssp2+oscal-compass.github.io+e2e-demo-mapping+oscal-content+.github+compliance-to-policy+e2e-demo-cac-cd-cis-rhel9+compliance-trestle-demos+compliance-trestle-ssp-demo+e2e-demo+c2p-plugins-contrib+e2e-demo-cac-ssp-cis+e2e-demo-pac-xccdf-rhel9+e2e-demo-pac-xccdf-ubuntu+e2e-demo-xccdf-ubuntu+sdk-conformance,2515,926,439,1400,272,878,48,TrestleGRC,oscal-compass.github.io
armadaproject,armada+armada-spark+armada-operator+jenkins-plugin+java-client,3840,1838,674,1356,87,1241,47,Armada,armadaproject.io
projectcapsule,capsule+website+capsule-proxy+capsule-addon-fluxcd+cortex-proxy+charts+cortex-tenant,2702,757,540,1255,73,1332,47,Capsule,capsule.clastix.io
devfile,registry+devworkspace-operator+api+developer-images+devfile-web+devworkspace-generator+registry-operator+registry-support+alizer+library+cloud-dev-images+vscode-walkthrough-extension+integration-tests+devfile-docker-plugin+docs+landing-page+registry-viewer,3933,1682,817,1297,177,1257,47,Devfile,github.com/devfile
openGemini,openGemini+openGemini.github.io+opengemini-client-go+openGemini-cli+opengemini-client-java+opengemini-client-python+opengemini-client-cpp+opengemini-client-rust+opengemini-client-ts+gemix+observability+opengemini-client-go-application+opengemini-client-python-application+openGemini-Flink-Connector+openGemini-mcp-server+openGemini-trino-plugin+data-migration-tools+openGemini-studio+pr-title-checker+website,921,312,286,254,136,187,46,openGemini,opengemini.org
kanisterio,kanister+blueprints+datamover+errkit+kanister-charts,2052,896,262,888,45,849,45,Kanister,kanister.io
carvel-dev,kapp-controller+carvel+vendir+kapp+kbld+imgpkg+secretgen-controller+ytt+homebrew+release-scripts+setup-action,1063,318,273,600,48,424,44,Carvel,carvel.dev
openyurtio,openyurt+openyurt.io+yurt-dashboard+charts+raven,1208,640,221,265,157,190,41,OpenYurt,opeyurt.io
getsops,sops+sotp+docs,1315,783,227,539,121,184,40,SOPS,github.com/mozilla/sops
distribution,distribution+distribution-library-image+reference,760,521,115,162,75,49,40,Distribution,github.com/distribution
tinkerbell,tinkerbell+cluster-api-provider-tinkerbell+rufio+hook+actions+tinkerbell.org+ipxedust+pbnj+smee+tink+hegel+playground+charts+.github+roadmap,1984,794,422,1735,107,661,40,Tinkerbell,tinkerbell.org
kubeslice,kubeslice-controller+worker-operator+kubeslice+gateway-sidecar+gateway-certs-generator+apis+docs+cmd-admission-webhook-k8s+wireguard+cmd-nsc+kubeslice-monitoring+dns+cmd-exclude-prefixes-k8s+cmd-forwarder-kernel+cmd-nsmgr+kubeslice-cli+netops+router-sidecar+wait-for-it+cmd-nse-vl3+cmd-registry-k8s+cmd-nsc-init+slicegw-edge,584,202,205,354,21,156,40,Kubeslice,kubeslice.io
theupdateframework,python-tuf+go-tuf+tuf-js+theupdateframework.io+tuf-on-ci+rust-tuf+tuf-conformance+tuf-on-ci-template+community+taps,1642,719,435,701,120,368,40,TUF,github.com/theupdateframework.com
project-copacetic,copacetic+copa-action+mcp-server,2348,1377,324,477,166,481,39,Copacetic,project-copacetic.github.io/copacetic
k8gb-io,k8gb+coredns-crd-plugin,2968,676,283,1736,57,1952,39,K8GB,github.com/AbsaOSS/k8gb
dexidp,dex+helm-charts+website,1316,607,282,542,59,368,39,Dex,github.com/dexidp
parallaxsecond,rust-cryptoki+rust-tss-esapi+parsec-client-java+parsec,1215,938,125,472,48,104,39,PARSEC,github.com/parallaxsecond/parsec
notaryproject,ratify+notation+ratify-web+notation-go+notaryproject.dev+ratify-go+ratify-containerd+ratify-verifier-go+notation-action+notation-core-go+specifications+notation-hashicorp-vault+notation-plugin-framework-go+tspclient-go+.github,3603,2459,491,930,131,522,39,Notary,github.com/notaryproject
shipwright-io,build+cli+operator+website+triggers+community+.github+sample-nodejs,1557,928,202,767,125,302,38,Shipwright,shipwright.io
serverlessworkflow,specification+serverlessworkflow.github.io+sdk-java+sdk-go+synapse+sdk-typescript+fosdem-2025+sdk-python+sdk-rust+.github+catalog+sdk-net+vscode-extension,2389,1112,517,1010,298,462,38,Serverless Workflow,serverlessworkflow.io
keylime,keylime+rust-keylime+enhancements+keylime-mcp+keylime-vagrant-ansible-tpm-emulator+keylime.github.io,1587,789,306,578,89,403,37,Keylime,keylime.dev
score-spec,docs+score-compose+score-go+score-k8s+score.dev+spec+score-aca+community-provisioners+sample-score-app+score-implementation-sample+score-radius+setup-score+.github+community-patchers+examples+homebrew-tap+sample-app-gif,2415,710,658,1269,82,965,37,Score,score.dev
cdk8s-team,cdk8s+cdk8s-cli+cdk8s-plus+cdk8s-ack-image-resizer+cdk8s-aws-cdk+cdk8s-cdktf-resolver,3900,174,58,4616,64,3604,37,Cloud Development Kit for Kubernetes,cdk8s.io
jozu-ai+kitops-ml,kitops+kitops+pykitops+pykitops+gh-kit-setup+gh-kit-setup+daggerverse+daggerverse+homebrew-kitops+.github,1856,946,408,983,129,373,35,KitOps,kitops.ml
interlink-hq+interTwin-eu,interLink+interlink-helm-chart+interlink-slurm-plugin+interlink-helm-chart+interlink-slurm-plugin+interLink+interlink-htcondor-plugin+interlink-plugin-sdk+vk-test-set+interlink-arc-plugin+interlink-docker-plugin+interlink-htcondor-plugin+vk-test-set+interlink-jhub+interlink-kubernetes-plugin+.github,856,294,183,1143,87,292,35,Interlink,interwin.eu
metallb,metallb+frr-k8s+metallb-operator,2080,1196,209,636,123,552,34,MetalLB,metallb.org
chaos-mesh,chaos-mesh+website+chaos-tproxy+k8s_dns_chaos+byteman-helper+charts+chaos-mesh.github.io+website-archived,848,364,205,251,83,196,33,Chaos Mesh,chaos-mesh.org
telepresenceio,telepresence+telepresence.io+docker-volume-telemount+go-fuseftp+dlib+homebrew-telepresence+go-ftpserver,1818,676,251,1610,156,735,33,Telepresence,telepresence.io
submariner-io,submariner+submariner-operator+subctl+shipyard+lighthouse+submariner-website+releases+admiral+cloud-prepare+submariner-charts+enhancements+submariner-bot+get.submariner.io+submariner-io.github.io,10364,4323,2187,4312,166,3688,33,Submariner,submariner.io
bpfman,bpfman+bpfman-operator+meeting-notes,1521,913,183,1091,113,312,31,bpfman,bpfman.io
