org,repo,activity,comments,prs,commits,issues,authors,project,url
ubuntudesign,vanilla-framework+snapcraft.io,1443,616,237,332,258,22,ubuntudesign,""
payara,Payara,1601,1201,156,165,79,22,payara,""
gocd,gocd,1106,451,274,271,110,22,gocd,""
IBM-Swift,Kitura,996,550,72,233,141,22,IBM-Swift,""
concrete5,concrete5,1654,774,240,425,215,22,concrete5,""
CiscoCloud,mantl,1162,701,134,216,111,22,CiscoCloud,""
projectcalico,calico-containers,689,434,67,101,87,22,projectcalico,""
Ultimaker,Cura,2215,1084,69,932,130,22,Ultimaker,""
xonsh,xonsh,2113,1585,169,191,168,22,xonsh,""
SwiftyJSON,SwiftyJSON,660,500,54,38,68,22,SwiftyJSON,""
wallabag,wallabag,1048,673,69,232,74,22,wallabag,""
DarkstarProject,darkstar,787,495,94,147,51,22,DarkstarProject,""
ckan,ckan,629,337,61,165,66,22,ckan,""
StackStorm,st2,914,483,85,284,62,21,StackStorm,""
claroline,Distribution,2900,1082,267,1285,266,21,claroline,""
bokeh,bokeh,2072,1226,167,368,311,21,bokeh,""
attic-labs,noms,1992,1286,268,276,162,21,attic-labs,""
weaveworks,scope,1759,1033,131,449,146,21,weaveworks,""
TryGhost,Ghost,1730,954,168,420,188,21,TryGhost,""
AnalyticalGraphicsInc,cesium,1640,794,128,595,123,21,AnalyticalGraphicsInc,""
TauCetiStation,TauCetiClassic,1465,999,179,153,134,21,TauCetiStation,""
Submitty,Submitty,1459,215,136,938,170,21,Submitty,""
uProxy,uproxy,1406,679,114,487,126,21,uProxy,""
ReactiveCocoa,ReactiveCocoa,1404,783,105,402,114,21,ReactiveCocoa,""
GoogleChrome,lighthouse,1397,715,139,442,101,21,Google Chrome,google.com/chrome
scp-fs2open,fs2open.github.com,1389,666,295,359,69,21,scp-fs2open,""
pantsbuild,pants,843,359,196,175,113,21,pantsbuild,""
pyca,cryptography,728,492,91,85,60,21,pyca,""
draft-js-plugins,draft-js-plugins,597,388,62,81,66,21,draft-js-plugins,""
electrode-io,electrode-io.github.io,591,147,144,230,70,21,electrode-io,""
gdisf,teaching-materials,306,132,60,62,52,21,gdisf,""
LMMS,lmms,1255,971,97,115,72,20,LMMS,""
Nukkit,Nukkit,865,590,90,116,69,20,Nukkit,""
TechnologyAdvice,stardust,2441,1065,158,1116,102,20,TechnologyAdvice,""
gnuradio,gnuradio,681,410,74,92,105,20,gnuradio,""
glpi-project,glpi,1576,884,101,370,221,20,glpi-project,""
