org,repo,activity,comments,prs,commits,issues,pushes,authors,project,url
perses,perses+plugins+shared+helm-charts+website+community-dashboards+community-mixins+perses-operator+common+promql-builder+spec+examples-plugin+mcp-server+homebrew-tap+metrics-usage+cli-actions+github-actions,5377,2414,818,2259,486,1659,146,Perses,perses.dev
Kuadrant,mcp-gateway+kuadrant-operator+kuadrant-console-plugin+limitador-operator+dns-operator+architecture+authorino+wasm-shim+developer-portal-controller+docs.kuadrant.io+limitador+authorino-operator+testsuite+testsuite-pipelines+kuadrant-backstage-plugin+kuadrant.github.io+kuadrantctl+policy-machinery+gateway-api-console-plugin+gateway-api-state-metrics+helm-charts+threat-assessment-service+kuadrant-mcp-server+Kuadrant-MCP-Walkthrough+speaking-through-policies+testsuite-rptool+.github+governance-test+internal-extensions,6926,3391,787,6740,659,2089,145,Kuadrant,kuadrant.io
vitessio,vitess+website+arewefastyet+vitess-releaser+goyacc+enhancements+vitess-bot+vt,6616,2183,1469,1711,372,2592,142,Vitess,vitess.io
dragonflyoss,client+dragonfly+nydus+d7y.io+community+helm-charts+console+api+vortex-protocol+snapshotter+design+dragonfly-injector+.github+image-service-website+monitoring+perf-tests,4687,1922,1099,1314,304,1362,136,Dragonfly,d7y.io/en-us
openkruise,agents+openkruise.io+kruise+kruise-game+charts+rollouts+kruise-tools,1864,926,374,722,185,379,134,OpenKruise,openkruise.io
kubescape,kubescape+helm-charts+regolibrary+regolibrary-dev+node-agent+storage+operator+kubevuln+kubescape.io+headlamp-plugin+cel-admission-library+k8s-interface+messaging+synchronizer+rulelibrary+backend+opa-utils+workflows+http-request+designs-and-proposals+host-scanner+prometheus-exporter+github-action+go-logger+helm-kubescape+homebrew-tap+lens-extension+load-simulator+backstage-plugin+packaging+vscode-kubescape+.project,2974,652,547,3705,91,1684,127,Kubescape,github.com/kubescape
spiffe,helm-charts-hardened+spiffe.io+spiffe+spike+spiffe-csi+spire-controller-manager+spike-sdk-go+spire-api-sdk+go-spiffe+spiffe-helper+spire-identity-exchange+spire-plugin-sdk+tornjak+aws-spiffe-workload-helper+java-spiffe+spiffefs+spire-controller-manager-dynamic-registration+bootc+spiffe-step-ssh+spire-examples+spire-ha-agent,3102,1086,468,1630,100,1448,126,Spiffe,spiffe.io
confidential-containers,cloud-api-adaptor+trustee+guest-components+confidentialcontainers.org+confidential-containers+td-shim+kbs-types+operator+charts+.github+trustee-operator+infra+.project+enclave-cc+reference-values,5353,3630,590,1942,181,952,123,Confidential Containers,github.com/confidential-containers
karmada-io,karmada+website+dashboard+community+multicluster-cloud-provider+playground+api,6589,5264,519,942,178,628,122,Karmada,Karmada.io
WasmEdge,WasmEdge+cpp-plugins+docs+devcontainer+wasmedge-spectest+wasmedgeup+www+homebrew-llvm+wasmedge-rust-sdk+.project+wasmedge_hyper_demo+mediapipe-rs+wasmedge-db-examples,3200,1799,307,947,200,894,121,WasmEdge Runtime,wasmedge.org
krkn-chaos,website+krkn+chaos-ai+krkn-ai+krkn-chaos-ai+krkn-lib+krkn-hub+krknctl+krkn-dashboard+krkn-assist+krkn-lightspeed+krkn-chaos-coordinator+actions+cerberus+krkn-demos+krkn-operator-console+krknctl-assist+krkn-http-load+krkn-operator+krkn-operator-acm+krkn-skills+scenarios-hub+visualize+chaos-member-check+krkn-funtests+krkn-lib-docs,2635,813,438,3533,204,1180,120,krkn,github.com/redhat-chaos/krknChaos
cadence-workflow,cadence+shard-manager+cadence-go-client+Cadence-Docs+cadence-idl+cadence-web+cadence-samples+cadence-java-client+cadence-python-client+starlark-worker+cadence-charts+cadence-java-samples+.github,5102,2809,1039,2892,104,1150,116,Cadence,cadenceworkflow.io
thanos-io+thanos-community,thanos+helm-charts+promql-engine+thanos-parquet-gateway+thanos-operator+objstore+protoc-gen-go-thanos+kube-thanos,1858,910,290,1075,89,569,115,Thanos,thanos.io
opentofu,opentofu+registry+setup-opentofu+registry-ui+opentofu.org+org+tofu-ls+opentofu-schema+vscode-opentofu+tofudl+provider-client+scripts+tofu-exec+get.opentofu.org+svchost+opentofu-mcp-server+opentofu-performance-testing,18753,2968,637,54929,1320,13828,114,OpenTofu,opentofu.org
coredns,coredns+helm+corefile-migration+ci+coredns.io+rrl+deployment,1274,476,251,345,82,465,114,CoreDNS,coredns.io
flatcar,scripts+flatcar-website+sysext-bakery+nebraska+mantle+bootengine+ue-rs+Flatcar+ignition+flatcar-build-scripts+init+update_engine+.github+flatcar-linux-update-operator+garm-provider-linode+socials+baselayout+flatcar-demos+terraform-gcp-flatcar+flatcar-app-jitsi+flatcar-cloud-image-uploader+flatcar-terraform+locksmith+nss-altfiles+seismograph+update-ssh-keys+coreos-cloudinit+torcx+yardmaster+container-linux-config-transpiler+flatcar-app-minecraft+flatcar-dev-util+flatcar-ipxe-scripts+flatcar-mastodon+flatcar-packer-qemu+flatcar-release-mirror+flatcar-template-project+flatcar-tutorial+fleetlock+flog+lerobot+mayday+nebraska-update-agent+reports+sysroot-wrappers+updateservicectl+flatcar-automation+flatcar-socials-scripts,3779,1274,373,7818,215,1917,112,Flatcar,flatcar.org
operator-framework,operator-controller+operator-lifecycle-manager+java-operator-sdk+operator-registry+operator-marketplace+api+helm-operator-plugins+operator-sdk+ansible-operator-plugins+josdk-spring-boot-starter+community+josdk-webhooks+webhook-operator+kubectl-operator+olm-docs+operator-lib+operator-manifest-tools+audit+kpm+test-operator+tilt-support,5655,3551,543,1103,136,1425,110,Operator Framework,operatorhub.io
open-cluster-management-io,ocm+open-cluster-management-io.github.io+api+enhancements+sdk-go+lab+addon-framework+cluster-proxy+clusteradm+addon-contrib+policy-collection+managed-serviceaccount+cluster-permission+community+argocd-pull-integration+config-policy-controller+governance-policy-addon-controller+helm-charts+.project+governance-policy-framework-addon+governance-policy-propagator+multicluster-controlplane+policy-generator-plugin+ocm-vscode-extension,4460,2667,550,1196,94,1149,110,Open Cluster Management,open-cluster-management.io
longhorn,longhorn-manager+website+longhorn+longhorn-tests+longhorn-engine+longhorn-instance-manager+longhorn-spdk-engine+cli+longhorn-ui+longhorn-share-manager+upgrade-responder+backing-image-manager+go-spdk-helper+types+dep-versions+go-common-libs+backupstore+charts+release+go-iscsi-helper+bot+sparse-tools+external-image-builder+kbench+nfs-backupstore+nsfilelock,16113,7719,1702,4222,2597,4095,108,Longhorn,github.com/longhorn
microcks,microcks+microcks.io+microcks-cli+.github+community+microcks-quarkus+microcks-aspire+microcks-testcontainers-dotnet+microcks-operator+microcks-testcontainers-node+homebrew-tap+hub.microcks.io+microcks-backstage-provider+microcks-go-client+microcks-java-client+microcks-jenkins-plugin+microcks-postman-runtime+microcks-quarkus-demo+microcks-testcontainers-dotnet-demo+microcks-testcontainers-java+microcks-aspire-demo+microcks-spectral-ruleset+microcks-testcontainers-dotnet-workshop+microcks-testcontainers-go+microcks-testcontainers-java-spring-demo+api-lifecycle+community-mocks+import-github-action+microcks-docker-desktop-extension+microcks-images+microcks-mcp-server+microcks-quickstarters+microcks-testcontainers-java-workshop+microcks.github.io+test-github-action,2979,1138,409,1018,482,950,107,Microcks,microcks.io
rook,rook+kubectl-rook-ceph+rook.github.io,4882,3288,447,2402,280,867,101,Rook,rook.io
connectrpc,connect-rust+connectrpc.com+connect-go+connect-swift+connect-es+connect-py+connect-python+otelconnect-go+vanguard-go+conformance+connect-query-es+validate-go+connect-dart+examples-es+grpchealth-go+validate-es+authn-go+connect-kotlin+connect-playwright-es+grpcreflect-go+.github+cors-go+envoy-demo+examples-go,2065,795,338,1289,85,847,100,Connect RPC,connectrpc.com
kubeovn,kube-ovn+docs+endpoint-health-checker+dnsnameresolver,3768,1021,548,1768,189,2010,98,Kube-OVN,kube-ovn.io
oauth2-proxy,oauth2-proxy+manifests+e2e-suite,1266,557,135,355,112,462,97,OAuth2-Proxy,oauth2-proxy.dev
metal3-io,baremetal-operator+metal3-docs+cluster-api-provider-metal3+ironic-image+ironic-standalone-operator+project-infra+metal3-dev-env+ip-address-manager+metal3-io.github.io+utility-images+community+ironic-ipa-downloader+.github+mariadb-image,9892,7232,696,2023,97,1867,95,metal3-io,metal3.io
kairos-io,kairos-docs+AuroraBoot+kairos-init+kairos+provider-kubeadm+kairos-agent+hadron+community-bundles+provider-kairos+kairos-operator+kairos-sdk+provider-canonical+provider-k3s+provider-nodeadm+provider-rke2+community+immucore+cluster-api-provider-kairos+kairos-factory-action+kairos-must-burn+kcrypt-discovery-challenger+go-ukify+helm-charts+kairos-lab+osbuilder+packages+workshop-kubernetes-intro+kairos-installer+packages.kairos.io+provider-kubernetes+tpm-helpers+entangle-proxy+go-nodepair+homebrew-kairos+kairos-capi+kcrypt+linting-composite-action+oci2sysext+simple-mdns-server+hadron-layers+kairos-framework+netboot+provider-microk8s,8162,1362,598,3364,412,5790,93,Kairos,kairos.io
kaito-project,kaito+airunway+kubeairunway+production-stack+aikit+kaito-kubectl-plugin+autoindexer+kaito-cookbook+kaito-pr-agent+headlamp-kaito+kaito-rag-api+keda-kaito-scaler+kaito.sh,4052,1689,617,2408,305,1441,93,KAITO,github.com/kaito-project/kaito
oras-project,oras+rust-oci-client+oras-www+oras-dotnet+oras-go+setup-oras+oras-java+community+oras-py+oras-mcp,3130,1788,375,777,235,732,91,ORAS,oras.land
koordinator-sh,koordinator+website+koord-queue+charts+community+apis+client-java+yarn-copilot,1578,940,240,418,135,263,91,Koordinator,koordinator.sh
openebs,lvm-localpv+openebs+mayastor-extensions+dynamic-localpv-provisioner+mayastor-control-plane+mayastor+zfs-localpv+rawfile-localpv+website+mayastor-dependencies+openebs-e2e+spdk-rs+monitoring+linux-utils+community+lib-csi+.github+.project+google-analytics-4+mayastor-chart-donotuse+mayastor-jenkins-cron+openebs-chart-donotuse,7011,2923,379,3285,138,3571,90,OpenEBS,openebs.io
spiffe,spire,1698,772,214,292,108,604,90,Spire,spiffe.io
konveyor,editor-extensions+analyzer-lsp+rulesets+enhancements+tackle2-ui+kantra+operator+kai+ci+tackle-ui-tests+c-sharp-analyzer-provider+go-konveyor-tests+kantra-cli-tests+tackle2-hub+java-analyzer-bundle+tackle2-seed+koncur+release-tools+static-report+konveyor.github.io+asset-generation+kai-ci+tackle2-addon-analyzer+ai-rule-gen+builder+cf-k8s-helm-chart+community+mig-demo-apps+mta-tackle2-addon-platform+tackle2-addon-platform+hack_env_helpers+maven-search-index+tackle2-addon+tackle2-addon-discovery,8354,3493,1388,3790,1596,1877,88,Konveyor,konveyor.io
cortexproject,cortex+cortex-helm-chart+auth-gateway+promqlsmith+test-infra,2389,1112,329,582,97,851,88,Cortex,github.com/cortexproject
bootc-dev,bootc+ci-sandbox+community+bcvk+containers-image-proxy-rs+bink+infra+actions+ocidir-rs+bootc-dev.github.io+jsonrpc-fdpass-go+podman-bootc+bootc-operator+jsonrpc-fdpass+canon-json-rs+agent-skills,3994,2364,466,3328,191,973,86,bootc,containers.github.io/bootc
HolmesGPT+robusta-dev,holmesgpt+holmesgpt+homebrew-holmesgpt,6383,1687,825,3979,94,3777,85,HolmesGPT,holmesgpt.dev
kube-rs,kube+gateway-api-rs+kopium+website+controller-rs+envtest+k8s-pb+kube-cel+version-rs,1231,512,169,655,93,457,85,kube-rs,docs.rs/kube
cedar-policy,cedar+cedar-spec+cedar-docs+cedar-for-agents+cedar-examples+cedar-go+cedar-java+authorization-for-expressjs+cedar-integration-tests+rfcs+vscode-cedar+cedar-website+cedar-authorization+cedar-local-agent+highlightjs-cedar+prism-cedar+cedar-monaco-editor+cedar-awesome+cedar-access-control-for-k8s,4368,2182,594,1677,122,1470,85,Cedar Policy,cedarpolicy.com
lima-vm,lima+socket_vmnet+alpine-lima+go-qcow2reader+sshocker+lima-actions,4881,3431,560,1589,370,520,84,Lima,github.com/lima-vm/lima
cartography-cncf,cartography+cartography.dev,5284,2058,543,1282,227,2456,82,Cartography,lyft.github.io/cartography
k0sproject,k0s+k0sctl+k0smotron+blog+k0sproject.github.io+rig+bootloose+image-builder+cni-node+homebrew-tap+k0smotron.io+version+get+community,4924,1588,750,2978,260,2326,82,k0s,k0sproject.io
kubeedge,kubeedge+ianvs+website+dashboard+community+edgemesh+api+beehive+examples+sedna,1832,1212,295,450,146,179,81,KubeEdge,kubeedge.io
cloud-custodian,cloud-custodian+cel-python+tfparse+www.cloudcustodian.io,1080,603,167,259,153,157,81,Cloud Custodian,cloudcustodian.io
kube-vip,kube-vip+helm-charts+website+kube-vip-cloud-provider+kube-gateway,848,425,110,428,80,233,81,kube-vip,kube-vip.io
kcp-dev,kcp+kcp-operator+helm-charts+multicluster-provider+cli+sdk+api-syncagent+code-generator+apimachinery+client-go+embeddedetcd+virtual-workspace-framework+infra+kcp.io+contrib+contrib-filteredapiexport-vw+enhancements+init-agent+generic-controlplane+kcp-dev.github.io+krew-index+logicalcluster,2816,1702,304,1935,165,645,79,kcp,kcp.io
kubearmor,KubeArmor+kubearmor-client+policy-templates+otel-adapter+k8tls+kubearmor-relay-server+kubearmor.io+packer-plugin-kubearmor,2746,580,158,679,99,1909,78,KubeArmor,accuknox.com/kubearmor
openeverest+percona,openeverest+everest+everest.github.io+openeverest.github.io+everest-doc+openeverest-operator+helm-charts+provider-percona-server-mongodb+everest-catalog+openeverest-catalog+specs+provider-sdk+generic-plugin-template+plugin-mongodb-explorer+provider-percona-xtradb-cluster+homebrew-tap+hub+vision+.github+governance+plugin-audit+plugin-hub+roadmap,3619,553,299,5308,159,2608,77,OpenEverest,openeverest.io
cozystack+aenix-io,cozystack+website+talm+cozystack-ui+boot-to-talos+ccp+community+cozystack-telemetry-server+etcd-operator+cozyvalues-gen+etcd-operator+cozyhr+cozypkg+kilo-clustermesh-operator+ansible-cozystack+external-apps-example+kubeovn-chart+blockstor+cozy-proxy+.github+local-ccm+readme-generator-for-helm+talos-meta-tool+cozystack-scheduler+homebrew-tap+standalone-trustd,5730,1050,792,9840,234,3654,76,CozyStack,cozystack.io
buildpacks+buildpacks-community,docs+pack+lifecycle+kpack+community+spec+kpack-cli+imgutil+github-actions+libcnb+profile+rfcs+samples+.github+registry-api+registry-index+registry-namespaces,2542,295,130,991,159,1958,74,Buildpacks,buildpacks.io
project-zot,zot+helm-charts+project-zot.github.io+zui,1949,1109,259,473,159,422,74,zot,zotregistry.io
kubewarden,adm-controller+helm-charts+kubewarden-controller+docs+policies+sbomscanner+kubewarden.io+policy-catalog+community+container-resources-policy+policy-sdk-js+user-group-psp-policy+cel-policy+environment-variable-policy+github-actions+high-risk-service-account-policy+host-namespaces-psp-policy+sysctl-psp-policy+allowed-proc-mount-types-psp-policy+annotations-policy+apparmor-psp-policy+capabilities-psp-policy+deprecated-api-versions-policy+disallow-service-loadbalancer-policy+echo+env-variable-secrets-scanner-policy+hostpaths-psp-policy+ingress-policy+kubewarden-end-to-end-tests+kwctl+pod-runtime-class-policy+policy-evaluator+policy-fetcher+policy-server+rego-policies-library+rfc+seccomp-psp-policy+verify-image-signatures+volumeMounts-policy+volumes-psp-policy+allow-privilege-escalation-psp-policy+allowed-fsgroups-psp-policy+audit-scanner+do-not-expose-admission-controller-webhook-services-policy+flexvolume-drivers-psp-policy+image-cve-policy+labels-policy+namespace-label-propagator-policy+persistentvolumeclaim-storageclass-policy+pod-privileged-policy+priority-class-policy+safe-annotations-policy+selinux-psp-policy+share-pid-namespace-policy+trusted-repos-policy+unique-ingress-policy+unique-service-selector-policy+automation+gostubpkg+js-policy-template+k8s-objects-generator+pod-ndots-policy+policy-sdk-go+policy-sdk-rust+psa-label-enforcer-policy+rancher-project-quotas-namespace-validator+raw-mutation-wasi-policy+readonly-root-filesystem-psp-policy+safe-labels-policy+.github+context-aware-demo+context-aware-test-policy+go-policy-template+go-wasi-context-aware-test-policy+go-wasi-policy-template+kyverno-dsl-policy+opa-policy-template+policy-sdk-dotnet+policy-sdk-swift+rancher-project-propagate-labels+rust-policy-template+workload-annotations-policy+context-aware-test-gatekeeper-policy+context-aware-test-opa-policy+disallow-service-nodeport-policy+gatekeeper-policy-template+load-testing+raw-mutation-policy+raw-validation-wasi-policy+sleeping-policy+strfmt+fleet-example+raw-validation-opa-policy+raw-validation-policy+swift-policy-template,11337,2791,1404,12063,484,6658,71,kubewarden,kubewarden.io
kube-burner,kube-burner-ocp+kube-burner+k8s-workloads,1450,906,256,376,97,191,71,kube-burner,cloud-bulldozer.github.io/kube-burner/
inspektor-gadget,inspektor-gadget+website+headlamp-plugin+ig-gpu-instructions+insights-plugin+charts+Contribfest-KubeCon-NA2025+grafana-dashboards+homebrew-tap+ig-desktop+ig-mcp-server+gadget-template+ig-benchmarks+ig-extcap+ig-test-reports,4762,1191,275,2547,106,3190,70,Inspektor Gadget,inspektor-gadget.io
youki-dev,youki+oci-spec-rs,1320,816,134,291,85,285,70,Youki,containers.github.io/youki
pipe-cd,pipecd+community-plugins+docs-mcp-server+piped-plugin-sdk-go+actions-plan-preview+terraform-provider-pipecd+examples,3060,1461,541,739,139,919,69,PipeCD,pipecd.dev
antrea-io,antrea+antrea-ui+image-utils+has-changes+website+antrea-operator+antrea-releaser,4827,3200,475,743,107,1045,68,Antrea,antrea.io
radius-project,radius+resource-types-contrib+docs+design-notes+bicep-types-aws+blog+dashboard+samples+lab+website+bicep-tools+community+.github+recipes+eshop+radius-skills,6662,3114,573,1933,791,2184,66,Radius,radapp.io
kubevela,kubevela+kubevela.github.io+vela-go-definitions+workflow+velaux+kube-trigger+community+catalog+kubevela-core-api+pkg+terraform-controller+prism,1384,753,187,664,335,109,66,KubeVela,kubevela.io
velero-io+vmware-tanzu,velero+velero+velero-plugin-for-aws+velero-plugin-for-aws+velero-plugin-for-gcp+velero-plugin-for-gcp+velero-plugin-for-microsoft-azure+velero-plugin-for-microsoft-azure+velero-plugin-for-vsphere+velero-plugin-example,3164,2189,314,2374,370,291,65,Velero,velero.io
wasmCloud,wasmCloud+wasmcloud.com+wash+typescript+go+setup-wash-action+wadm+actions+runtime-operator+homebrew-wasmcloud+wadm-operator+wasmcloud-operator+contrib+nkeys+wadge+arewefastyet+cabish+go-vanity-urls+wasmcloud-js,2826,914,432,2078,194,1286,65,wasmCloud,wasmcloud.com
kcl-lang,kcl+modules+kcl-lang.io+kpm+kcl-go+kcl-openapi+cli+krm-kcl+lib+vscode-kcl+flux-kcl-controller+helm-kcl+kcl-operator+scoop-bucket+tree-sitter-kcl+kcl-plugin+kpt-kcl+kubectl-kcl,603,94,94,668,120,295,63,KCL,kcl-lang.io
AthenZ,athenz+k8s-athenz-sia+authorization-proxy+csi-driver-athenz+terraform-provider-athenz+mcp-oauth-proxy+athenz-authorizer+athenz-issuer+k8s-athenz-syncer+garm+website,994,384,233,584,25,352,62,Athenz,athenz.io
spinframework+fermyon,spin+spin-docs+spin-plugins+containerd-shim-spin+spin-operator+spin-trigger-plugins+runtime-class-manager+spin-python-sdk+spin-trigger-mqtt+spin-trigger-sqs+spin-go-sdk+spin-js-sdk+spin-rust-sdk+spin-trigger-command+homebrew-tap+otel-plugin+spin-trigger-cron+spinkube-docs+actions+js-wasi-ext+spin-deps-plugin+http-auth-middleware+schemas.spinframework.dev+spin-environments+spin-fileserver+spin-plugin-kube+spin-js-sdk+governance+rust-docs,2896,1602,377,2495,143,774,60,Spin,developer.fermyon.com/spin
Azure+kubefleet-dev,fleet+kubefleet+website+fleet-networking+kubefleet-cookbook+kubefleet-headlamp-plugin+enhancements+.github+community,3397,2348,356,1336,118,575,60,KubeFleet,github.com/Azure/fleet
linkerd,linkerd2+website+linkerd2-proxy+linkerd2-proxy-init+linkerd2-proxy-api+dev+linkerd-await+linkerd-extension-init+linkerd-cert-manager+linkerd-failover,3469,1207,560,1115,64,1638,59,Linkerd,linkerd.io
Apicurio,apicurio-registry,2704,365,319,1155,482,1538,57,Apicurio,apicur.io/registry
kmesh-net,kmesh+orion+website+test-infra,1409,994,163,678,83,169,56,Kmesh,kmesh.net
cri-o,cri-o+packaging+credential-provider+crio-credential-provider+ocicni,2624,1422,238,611,45,919,56,CRI-O,cri-o.io
armadaproject,armada+armada-spark+armada-operator+jenkins-plugin,1673,607,216,723,18,832,54,Armada,armadaproject.io
in-toto,attestation+go-witness+witness+archivista+friends+in-toto+community+helm-charts+in-toto.io+attestation-verifier+in-toto-golang+demo+in-toto-rs+scai-demos,1428,585,164,375,41,638,53,in-toto,in-toto.io
kptdev,kpt+porch+krm-functions-catalog+krm-functions-sdk+kpt-backstage-plugins+governance+.github+kpt-samples,934,469,134,823,181,150,53,kpt,kpt.dev
dexidp,dex+helm-charts+website,800,382,131,287,36,251,50,Dex,github.com/dexidp
getsops,sops+docs+sotp,625,330,89,472,82,124,49,SOPS,github.com/mozilla/sops
oscal-compass,compliance-trestle+community+compliance-to-policy-go+oscal-sdk-go+agentic-agile-authoring+compliance-trestle-demos+oscal-content+.github+compliance-trestle-template-component-definition+oscal-compass.github.io+compliance-to-policy+c2p-plugins-contrib+compliance-trestle-mcp+compliance-trestle-ssp-demo+e2e-demo,1193,477,128,431,79,509,49,TrestleGRC,oscal-compass.github.io
cloudevents,sdk-go+sdk-python+spec+cloudevents-web+sdk-java+sdk-rust+conformance+sdk-csharp+sdk-javascript+sdk-ruby,716,374,114,294,55,173,49,CloudEvents,cloudevents.io
cubefs,cubefs+cubefs_blog+cubefs-csi+cubefs-community,537,274,87,2251,113,63,48,CubeFS,cubefs.io
urunc-dev,urunc+urunc_test+urunc-external-merge+ci-dashboard+unikernel-build+urunc-release-test+urunc-test-fork+monitors-build,1548,484,141,854,96,827,48,urunc,urunc.io
Azure+project-dalec,dalec+dalec+dalec-docker-desktop-extension+dalec-vscode-extension+.project,1177,597,181,931,77,322,46,Dalec,azure.github.io/dalec
k8sgpt-ai,k8sgpt+k8sgpt-operator+website+charts+homebrew-k8sgpt,1103,88,59,253,56,900,45,K8sGPT,k8sgpt.ai
projectcapsule,capsule+capsule-proxy+website+capsule-addon-fluxcd+headlamp-plugin+charts,1518,282,194,510,47,995,45,Capsule,capsule.clastix.io
werf,werf+nelm+trdl+website+kubedog+common-go+actions+nelm-operator+nelm-chart-ts-sdk+wormatter+common-ci+trdl-actions,2657,499,568,3274,56,1534,45,werf,werf.io
devfile,devworkspace-operator+registry+developer-images+devworkspace-generator+alizer+registry-support+api+devfile-web+gui-wizard+library+claude-plugin+integration-tests+registry-operator+cloud-dev-images+docs+landing-page+registry-viewer,2373,916,302,639,59,1096,44,Devfile,github.com/devfile
score-spec,score-compose+score-k8s+docs+score-go+spec+score.dev+community-provisioners+score-aca+score-helm+score-implementation-sample+score-radius+examples+homebrew-tap+setup-score+.github+community-patchers+sample-score-app,1026,170,179,698,50,627,43,Score,score.dev
parallaxsecond,rust-cryptoki+rust-tss-esapi+rust-psa-crypto+parsec+parsec-interface-rs,593,458,53,313,29,53,42,PARSEC,github.com/parallaxsecond/parsec
carvel-dev,kapp-controller+kbld+kapp+ytt+vendir+imgpkg+secretgen-controller+carvel+homebrew+release-scripts+setup-action,411,120,68,373,23,200,42,Carvel,carvel.dev
kumahq,kuma+kuma-website+kuma-gui+kuma-counter-demo+ci-tools+envoy-builds,8982,3473,1118,2002,651,3740,42,Kuma,kuma.io
kube-logging,logging-operator+fluentd-images+kube-logging.github.io+custom-runner+telemetry-controller+log-generator+.github,913,174,101,673,44,594,41,Logging Operator,kube-logging.dev
chaosblade-io,chaosblade-exec-os+chaosblade-operator+chaosblade+chaosblade-box+chaosblade-box-fe+chaosblade-space-exploration+chaosblade-website+chaosblade-exec-cri+chaosblade-box-agent+chaosblade-exec-cplus+chaosblade-exec-jvm+chaosblade-exec-middleware+cloud-native-maturity-evaluate+chaosblade-exec-cloud+chaosblade-spec-go+chaosblade-help-doc+charts+chaosblade-for-deepwiki,835,179,182,655,169,305,41,ChaosBlade,github.com/chaosblade-io
project-copacetic,copacetic+copa-action+mcp-server+.project,1260,629,164,230,101,366,41,Copa,project-copacetic.github.io/copacetic
submariner-io,submariner+submariner-operator+lighthouse+releases+submariner-website+shipyard+subctl+admiral+cloud-prepare+enhancements+submariner-charts+submariner-diagnostics+submariner-bot+get.submariner.io+submariner-io.github.io,6107,1859,1045,2762,101,3102,41,Submariner,submariner.io
serverlessworkflow,specification+sdk-java+editor+sdk-typescript+serverlessworkflow.github.io+sdk-go+synapse+sdk-python+sdk-rust+vscode-extension+catalog+sdk-net,1572,635,264,852,218,455,40,Serverless Workflow,serverlessworkflow.io
modelpack,modctl+model-spec+model-csi-driver+modelpack.org+community,860,431,159,299,44,226,40,ModelPack,github.com/CloudNativeAI/model-spec
notaryproject,ratify+notation+notaryproject.dev+ratify-verifier-go+notation-go+ratify-containerd+ratify-go+ratify-web+.github,779,295,113,251,38,333,39,Notary,github.com/notaryproject
hyperlight-dev,hyperlight+hyperlight-js+hyperlight-wasm+cargo-hyperlight+hyperlight-unikraft+hyperlight-wasm-http-example+ci-setup-workflow+hyperlight-nanvix+hyperlight-wasm-calculator-example+www+hyperlight-kubeconNA2024-demo+hyperlight-sandbox+hyperagent+hyperlight-on-kubernetes+hyperlight-wasm-sockets-example,4035,2051,405,1484,162,1417,39,Hyperlight,hyperlight.org
sustainable-computing-io,kepler+kepler-operator+kepler-doc+kepler-helm-chart+community+susql-operator+clever+kepler-model-server+local-dev-cluster,1666,1009,269,605,108,280,38,Kepler,sustainable-computing.io
chaos-mesh,chaos-mesh+website+charts+k8s_dns_chaos+chaos-mesh-action+chaos-mesh.github.io+chaos-tproxy+memStress,461,164,86,216,79,132,37,Chaos Mesh,chaos-mesh.org
distribution,distribution+distribution-library-image+reference,356,230,50,168,28,48,36,Distribution,github.com/distribution
cdfoundation,CICD-Cybersecurity+toc+tekton-helm-chart+cdf-landscape+foundation,197,65,29,206,36,67,36,CDF,cd.foundation
metallb,metallb+frr-k8s+metallb-operator,1184,621,85,386,49,429,36,MetalLB,metallb.org
tinkerbell,tinkerbell+actions+cluster-api-provider-tinkerbell+hook+smee+captain+tinkerbell.org+playground+rufio+.github+charts+hegel+ipxedust+tink,1044,295,243,767,59,447,36,Tinkerbell,tinkerbell.org
kanisterio,kanister+blueprints+datamover+kanister-charts,1242,402,152,348,19,669,34,Kanister,kanister.io
bank-vaults,bank-vaults+vault-operator+vault-secrets-webhook+bank-vaults.dev+secret-init+secrets-webhook+vault-env+vault-helm-chart+vault-sdk+secret-sync+vault-secrets-reloader,2388,815,383,624,20,1170,34,Bank-Vaults,bank-vaults.dev
k8gb-io,k8gb+coredns-crd-plugin,2395,437,162,652,45,1751,34,K8GB,github.com/AbsaOSS/k8gb
kitops-ml,kitops+pykitops+gh-kit-setup+homebrew-kitops+kitops-ts+daggerverse+kitops-desktop,628,287,91,331,38,212,33,KitOps,kitops.ml
nmstate,nmstate+nmstate.github.io+kubernetes-nmstate+nmstate-console-plugin+test-env,949,532,176,401,27,214,32,NMstate,nmstate.io
projectcontour,contour+helm-charts+community+contour-authserver,738,262,139,193,48,289,32,Contour,projectcontour.io
service-mesh-performance+layer5io,service-mesh-performance+perf+advanced-istio-service-mesh-workshop+istio-service-mesh-workshop+service-mesh-labs+linkerd-service-mesh-workshop,91,21,33,131,4,33,32,Service Mesh Performance,smp-spec.io
openyurtio,openyurt+openyurt.io+raven+yurt-dashboard,355,155,64,122,55,81,31,OpenYurt,opeyurt.io
shipwright-io,build+cli+triggers+website+community+operator+.github,677,321,82,252,76,198,31,Shipwright,shipwright.io
theupdateframework,tuf-js+go-tuf+python-tuf+rust-tuf+theupdateframework.io+specification+tuf-on-ci+taps+tuf-conformance+tuf-on-ci-template+community,584,193,100,264,18,273,31,TUF,github.com/theupdateframework.com
drasi-project,drasi-core+drasi-platform+docs+drasi-server+learning,2658,1494,312,1167,141,711,29,Drasi,drasi.io
