org,repo,activity,comments,prs,commits,issues,authors
kubernetes,kubernetes/kube2consul,7,3,0,0,4,0
linkerd,linkerd/namerctl,6,1,1,2,2,1
fluent,fluent/fluent-bit-packaging,6,0,0,6,0,1
fluent,fluent/nginx-fluentd-module,6,2,2,0,2,0
kubernetes-client,kubernetes-client/gen,5,0,0,5,0,1
prometheus,prometheus/prometheus_cli,4,3,0,0,1,0
opentracing,opentracing/basictracer-csharp,4,0,0,4,0,3
kubernetes-ui,kubernetes-ui/graph,3,0,0,0,3,0
kubernetes,kubernetes/cluster-proportional-autoscaler,3,2,1,0,0,0
kubernetes-client,kubernetes-client/javascript,3,0,0,3,0,1
kubernetes,kubernetes/ocid,2,0,0,2,0,1
coredns,coredns/logo,2,0,0,1,1,1
coredns,coredns/coredns-grpc,2,1,0,0,1,0
coredns,coredns/presentations,2,0,0,2,0,1
grpc,grpc/grpc-contrib,2,0,0,2,0,1
kubernetes,kubernetes/kube-ui,2,1,0,0,1,0
fluent,fluent/fluent-bit-docker,2,0,0,2,0,1
kubernetes-contrib,kubernetes-contrib/jumpserver,1,0,0,1,0,1
kubernetes-client,kubernetes-client/python-base,1,0,0,1,0,1
fluent,fluent/fluentd-benchmark,1,0,0,1,0,1
kubernetes,kubernetes/examples,1,0,0,1,0,1
fluent,fluent/fluentbit-website-v2,1,0,0,1,0,1
kubernetes-ui,kubernetes-ui/kube-ui-docker,1,1,0,0,0,0
fluent,fluent/fluentd-docs-kubernetes,1,0,0,1,0,1
