org,repo,activity,comments,prs,commits,issues,authors
citra-emu,citra-emu/citra,1961,1490,163,147,161,35
GoogleChrome,GoogleChrome/lighthouse,1957,1107,255,461,134,38
greenplum-db,greenplum-db/gpdb,1952,1296,283,322,51,82
solettaproject,solettaproject/soletta,1943,1261,357,267,58,48
Microsoft,Microsoft/vsts-agent,1942,815,182,789,156,38
dotnet,dotnet/core-docs,1939,998,254,590,97,63
owncloud,owncloud/android,1932,1290,61,482,99,27
docker,docker/compose,1930,1456,110,64,300,37
sphinx-doc,sphinx-doc/sphinx,1923,1323,132,255,213,35
grpc,grpc/grpc-java,1920,1305,242,210,163,29
Rostlab,Rostlab/JS16_ProjectF,1917,1143,174,450,150,16
torchbox,torchbox/wagtail,1907,1185,237,327,158,74
ElektraInitiative,ElektraInitiative/libelektra,1902,1319,120,318,145,20
haskell,haskell/cabal,1901,1427,143,217,114,29
CiscoCloud,CiscoCloud/mantl,1892,1155,169,410,158,30
alibaba,alibaba/fastjson,1886,685,53,1015,133,16
hashicorp,hashicorp/nomad,1881,815,210,688,168,40
telefonicaid,telefonicaid/fiware-orion,1880,779,215,733,153,22
devopsdays,devopsdays/devopsdays-web,1876,637,489,641,109,89
SeleniumHQ,SeleniumHQ/selenium,1875,1139,81,220,435,50
openhab,openhab/openhab,1873,1494,139,116,124,51
convox,convox/rack,1867,1083,194,435,155,30
BD2KGenomics,BD2KGenomics/toil,1858,1142,121,396,199,24
Dolibarr,Dolibarr/dolibarr,1857,589,368,745,155,67
mautic,mautic/mautic,1855,1199,141,267,248,36
codecombat,codecombat/codecombat,1854,591,191,998,74,73
nova-framework,nova-framework/framework,1851,1271,232,276,72,16
ethereum,ethereum/go-ethereum,1850,1317,179,163,191,32
certbot,certbot/certbot,1846,1272,147,256,171,47
mbedmicro,mbedmicro/mbed,1844,1341,301,105,97,29
DataViva,DataViva/dataviva-site,1835,195,356,1078,206,21
JMRI,JMRI/JMRI,1824,815,462,482,65,37
dotnet,dotnet/orleans,1819,1375,149,169,126,52
docker,docker/swarm,1816,1358,178,123,157,41
divio,divio/django-cms,1813,1181,246,253,133,35
TerriaJS,TerriaJS/terriajs,1811,606,129,881,195,30
e107inc,e107inc/e107,1806,1188,72,315,231,18
whatwg,whatwg/html,1803,1419,101,79,204,18
eclipse,eclipse/smarthome,1802,1285,217,123,177,31
inverse-inc,inverse-inc/packetfence,1801,606,100,882,213,30
telerik,telerik/kendo-ui-core,1801,369,55,1098,279,77
kaldi-asr,kaldi-asr/kaldi,1798,1350,170,202,76,60
pypa,pypa/pip,1787,1408,205,38,136,26
coala-analyzer,coala-analyzer/coala,1779,1136,142,306,195,35
vanilla,vanilla/vanilla,1778,479,265,805,229,36
nim-lang,nim-lang/Nim,1766,1062,187,270,247,64
bolt,bolt/bolt,1759,1061,213,292,193,41
pouchdb,pouchdb/pouchdb,1755,1187,107,339,122,37
plotly,plotly/plotly.js,1754,965,164,445,180,30
RPCS3,RPCS3/rpcs3,1745,1375,106,153,111,21
palantir,palantir/atlasdb,1742,583,246,811,102,59
Leaflet,Leaflet/Leaflet,1739,1111,185,279,164,49
