org,repo,activity,comments,prs,commits,issues,authors
StoDevX,StoDevX/AAO-React-Native,2491,688,320,1382,101,12
atomist,atomist/rug,2488,724,253,1335,176,22
almighty,almighty/almighty-core,2480,1502,339,322,317,19
Promact,Promact/trappist,2480,191,279,1953,57,27
Microsoft,Microsoft/vcpkg,2479,1380,240,557,302,69
JabRef,JabRef/jabref,2468,1416,183,665,204,33
Homebrew,Homebrew/homebrew-science,2467,1613,395,345,114,89
koreader,koreader/koreader,2466,1906,184,194,182,17
c2corg,c2corg/v6_ui,2462,1537,165,593,167,13
ESMCI,ESMCI/cime,2461,1459,239,502,261,26
almende,almende/vis,2456,1774,165,170,347,37
artsy,artsy/force,2455,1206,552,522,175,35
dotnet,dotnet/corefxlab,2454,1596,276,456,126,30
dotnet,dotnet/orleans,2452,1730,291,289,142,42
awesomeWM,awesomeWM/awesome,2425,1804,205,193,223,37
sphinx-doc,sphinx-doc/sphinx,2418,1562,189,455,212,44
nim-lang,nim-lang/Nim,2417,1299,280,504,334,72
HippieStationCode,HippieStationCode/HippieStation13,2415,2154,108,79,74,22
Azure,Azure/azure-rest-api-specs,2412,1841,277,215,79,91
owncloud,owncloud/client,2408,1815,110,259,224,25
Azure,Azure/azure-powershell,2402,1609,305,251,237,87
prometheus,prometheus/prometheus,2396,1751,159,286,200,41
wix,wix/wix-style-react,2394,169,249,1902,74,63
angular,angular/angular.js,2381,1736,175,259,211,53
Microsoft,Microsoft/RTVS,2371,1480,182,357,352,11
chartjs,chartjs/Chart.js,2367,1801,95,117,354,29
MonoGame,MonoGame/MonoGame,2360,1957,168,97,138,25
weaveworks,weaveworks/scope,2358,1162,185,813,198,26
openSUSE,openSUSE/open-build-service,2357,1385,424,429,119,28
KiCad,KiCad/kicad-library,2353,1749,313,234,57,62
lampepfl,lampepfl/dotty,2353,1634,275,245,199,21
webcompat,webcompat/webcompat.com,2342,1772,118,282,170,22
composer,composer/composer,2336,1856,86,102,292,40
learningequality,learningequality/kolibri,2336,1205,429,466,236,20
vmware,vmware/harbor,2334,1075,394,359,506,24
GoogleCloudPlatform,GoogleCloudPlatform/google-cloud-node,2331,1540,149,441,201,30
WhisperSystems,WhisperSystems/Signal-iOS,2317,840,305,987,185,12
nvaccess,nvaccess/nvda,2306,1586,86,285,349,19
golang,golang/dep,2303,1796,150,120,237,36
TrueCar,TrueCar/gluestick,2303,590,340,1126,247,21
fossasia,fossasia/open-event-android,2295,1302,267,456,270,52
aframevr,aframevr/aframe,2291,1583,216,289,203,72
diffblue,diffblue/cbmc,2289,1380,402,405,102,40
apollographql,apollographql/apollo-client,2284,1632,149,282,221,48
pi-hole,pi-hole/pi-hole,2281,1571,173,364,173,26
silverstripe,silverstripe/silverstripe-framework,2281,1592,254,259,176,49
e107inc,e107inc/e107,2279,1309,141,583,246,18
bundler,bundler/bundler,2274,1813,154,123,184,18
FriendsOfPHP,FriendsOfPHP/PHP-CS-Fixer,2274,1746,191,226,111,27
GoogleCloudPlatform,GoogleCloudPlatform/google-cloud-java,2274,1431,298,309,236,30
mesonbuild,mesonbuild/meson,2268,1501,235,323,209,42
usnistgov,usnistgov/800-63-3,2257,960,83,92,1122,11
strongloop,strongloop/loopback,2257,1734,87,200,236,30
Azure,Azure/acs-engine,2256,1530,243,313,170,45
KC3Kai,KC3Kai/KC3Kai,2253,1201,154,731,167,19
TryGhost,TryGhost/Ghost,2248,1172,233,573,270,23
micropython,micropython/micropython,2247,1473,134,456,184,28
status-im,status-im/status-react,2247,899,206,812,330,31
Microsoft,Microsoft/LightGBM,2244,1427,162,480,175,26
OmniSharp,OmniSharp/omnisharp-vscode,2240,1789,104,101,246,16
halide,halide/Halide,2232,839,251,1082,60,23
Automattic,Automattic/mongoose,2226,1564,55,279,328,25
dask,dask/dask,2225,1699,171,188,167,35
archesproject,archesproject/arches,2224,538,364,1077,245,15
openemr,openemr/openemr,2219,1633,188,298,100,26
